Gene1	Gene2	rho1	version	ID	rank_rho	V3
ENSG00000001561	ENSG00000079841	0.217030769230769	1	21141189	76615909	1
ENSG00000001561	ENSG00000101307	0.372346153846154	1	144005373	123905434	1
ENSG00000001561	ENSG00000106588	0.270507692307692	1	25757514	93904737.5	1
ENSG00000001561	ENSG00000111540	0.424915384615385	1	75657588	137594221.5	1
ENSG00000001561	ENSG00000134996	0.496076923076923	1	44775891	153840280.5	1
ENSG00000001561	ENSG00000166226	0.293630769230769	1	77314833	101082092	1
ENSG00000001561	ENSG00000168092	0.411392307692308	1	59416888	134201104.5	1
ENSG00000001561	ENSG00000184702	-0.5595	1	178526398	165856951.5	1
ENSG00000001561	ENSG00000185883	-0.0515230769230769	1	107999994	18712632.5	1
ENSG00000001561	ENSG00000186111	-0.662192307692307	1	154578591	180087026	1
ENSG00000001561	ENSG00000188229	-0.159215384615385	1	49452978	56990744	1
ENSG00000001561	ENSG00000198707	0.209715384615385	1	78112689	74179424	1
ENSG00000001561	ENSG00000214078	-0.284738461538462	1	147659958	98343656.5	1
ENSG00000006007	ENSG00000100997	0.0418461538461538	1	146331042	15206147	1
ENSG00000006007	ENSG00000103043	-0.430330769230769	1	117297141	138927918	1
ENSG00000006007	ENSG00000159082	0.181584615384615	1	188359807	64682918	1
ENSG00000006007	ENSG00000186111	-0.350630769230769	1	154587024	117875613.5	1
ENSG00000006007	ENSG00000214078	-0.277476923076923	1	147668391	96088040	1
ENSG00000006607	ENSG00000089820	0.421030769230769	1	35725567	136629651.5	1
ENSG00000006607	ENSG00000213977	0.509115384615385	1	121114455	156506301.5	1
ENSG00000006607	ENSG00000242173	-0.351430769230769	1	106488310	118101290.5	1
ENSG00000006695	ENSG00000011295	0.472461538461539	1	124149390	148759738	1
ENSG00000006695	ENSG00000082641	0.0402153846153846	1	131470749	14615187.5	1
ENSG00000006695	ENSG00000160194	-0.493230769230769	1	189916560	153244570.5	1
ENSG00000006695	ENSG00000178127	0.0398538461538462	1	139302139	14484429	1
ENSG00000008086	ENSG00000083290	-0.141176923076923	1	125136222	50709882.5	1
ENSG00000008086	ENSG00000165238	0.461676923076923	1	45461277	146336189	1
ENSG00000011275	ENSG00000022840	-0.319792307692308	1	81103481	108954247.5	1
ENSG00000011275	ENSG00000034677	-0.0509230769230769	1	40268852	18495742	1
ENSG00000011275	ENSG00000077721	-0.732823076923077	1	34589087	186206844.5	1
ENSG00000011275	ENSG00000100505	-0.307084615384615	1	90505332	105163045	1
ENSG00000011275	ENSG00000102858	0.217461538461538	1	108972704	76758815.5	1
ENSG00000011275	ENSG00000109079	-0.153338461538461	1	125642027	54951640	1
ENSG00000011275	ENSG00000158290	-0.624053846153846	1	34697286	175556328.5	1
ENSG00000011275	ENSG00000164953	-0.540369230769231	1	39892847	162487380.5	1
ENSG00000011275	ENSG00000166477	-0.687861538461539	1	100026297	182644448	1
ENSG00000011275	ENSG00000167716	0.78743076923077	1	120558629	189087731.5	1
ENSG00000011275	ENSG00000174943	0.472315384615385	1	112379537	148727250	1
ENSG00000011275	ENSG00000182670	-0.720146153846154	1	189167976	185317390	1
ENSG00000011275	ENSG00000188021	-0.7793	1	32880887	188750568	1
ENSG00000011275	ENSG00000198373	0.368123076923077	1	116998457	122749274	1
ENSG00000011295	ENSG00000099624	-0.245961538461539	1	153009536	86085015.5	1
