tp_s	fp_s	fn_s	tn_s
1751	170591	32	3096
1740	168954	43	4733
1722	167385	61	6302
1710	165804	73	7883
1703	164205	80	9482
1688	162639	95	11048
1678	161119	105	12568
1655	159533	128	14154
1639	158046	144	15641
1626	156492	157	17195
1608	154988	175	18699
1594	153450	189	20237
1576	151869	207	21818
1559	150365	224	23322
1543	148853	240	24834
1526	147350	257	26337
1507	145725	276	27962
1487	144193	296	29494
1472	142728	311	30959
1452	141160	331	32527
1445	139645	338	34042
1434	138163	349	35524
1423	136579	360	37108
1411	135019	372	38668
1393	133611	390	40076
1376	132078	407	41609
1362	130555	421	43132
1342	129082	441	44605
1328	127625	455	46062
1316	126080	467	47607
1303	124625	480	49062
1290	123093	493	50594
1278	121591	505	52096
1267	120059	516	53628
1255	118624	528	55063
1244	117239	539	56448
1228	115776	555	57911
1210	114252	573	59435
1200	112832	583	60855
1191	111375	592	62312
1177	109902	606	63785
1164	108464	619	65223
1148	107019	635	66668
1134	105623	649	68064
1119	104287	664	69400
1111	102890	672	70797
1096	101518	687	72169
1079	100160	704	73527
1063	98767	720	74920
1048	97370	735	76317
1032	95956	751	77731
1024	94559	759	79128
1006	93209	777	80478
996	91864	787	81823
984	90543	799	83144
961	89197	822	84490
948	87827	835	85860
933	86515	850	87172
923	85191	860	88496
912	83815	871	89872
900	82482	883	91205
886	81130	897	92557
877	79807	906	93880
863	78480	920	95207
854	77179	929	96508
847	75894	936	97793
840	74574	943	99113
832	73312	951	100375
818	72086	965	101601
807	70813	976	102874
795	69470	988	104217
782	68159	1001	105528
769	66920	1014	106767
753	65675	1030	108012
743	64447	1040	109240
729	63165	1054	110522
711	61967	1072	111720
705	60712	1078	112975
697	59436	1086	114251
685	58251	1098	115436
676	56989	1107	116698
663	55761	1120	117926
653	54587	1130	119100
636	53420	1147	120267
625	52217	1158	121470
611	51103	1172	122584
603	49948	1180	123739
591	48826	1192	124861
574	47696	1209	125991
559	46545	1224	127142
544	45386	1239	128301
530	44363	1253	129324
516	43231	1267	130456
508	42150	1275	131537
499	41056	1284	132631
487	40034	1296	133653
473	38965	1310	134722
461	37993	1322	135694
457	36989	1326	136698
448	36023	1335	137664
436	35036	1347	138651
427	34001	1356	139686
419	33023	1364	140664
414	32062	1369	141625
403	31077	1380	142610
398	30157	1385	143530
391	29226	1392	144461
380	28328	1403	145359
371	27449	1412	146238
365	26543	1418	147144
358	25715	1425	147972
348	24872	1435	148815
334	24042	1449	149645
322	23240	1461	150447
315	22439	1468	151248
307	21615	1476	152072
299	20798	1484	152889
289	20012	1494	153675
286	19314	1497	154373
275	18625	1508	155062
267	17884	1516	155803
260	17240	1523	156447
250	16580	1533	157107
240	15911	1543	157776
228	15284	1555	158403
222	14685	1561	159002
215	14082	1568	159605
210	13487	1573	160200
203	12931	1580	160756
201	12351	1582	161336
186	11790	1597	161897
179	11279	1604	162408
169	10755	1614	162932
161	10265	1622	163422
154	9772	1629	163915
148	9344	1635	164343
141	8906	1642	164781
138	8461	1645	165226
136	8030	1647	165657
130	7603	1653	166084
127	7229	1656	166458
123	6844	1660	166843
120	6446	1663	167241
117	6096	1666	167591
110	5765	1673	167922
102	5423	1681	168264
97	5109	1686	168578
91	4789	1692	168898
86	4514	1697	169173
82	4232	1701	169455
73	3965	1710	169722
70	3701	1713	169986
67	3463	1716	170224
66	3226	1717	170461
59	3041	1724	170646
57	2849	1726	170838
56	2666	1727	171021
52	2483	1731	171204
48	2288	1735	171399
47	2105	1736	171582
46	1937	1737	171750
42	1776	1741	171911
37	1612	1746	172075
36	1471	1747	172216
36	1334	1747	172353
35	1202	1748	172485
35	1088	1748	172599
29	975	1754	172712
28	863	1755	172824
26	769	1757	172918
24	690	1759	172997
21	610	1762	173077
21	523	1762	173164
18	443	1765	173244
16	379	1767	173308
14	328	1769	173359
13	266	1770	173421
13	221	1770	173466
11	185	1772	173502
10	153	1773	173534
6	109	1777	173578
5	80	1778	173607
4	58	1779	173629
2	37	1781	173650
2	22	1781	173665
1	11	1782	173676
1	5	1782	173682
1	2	1782	173685
0	1	1783	173686
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
