tp_s	fp_s	fn_s	tn_s
1752	170505	31	3182
1739	168865	44	4822
1717	167285	66	6402
1695	165761	88	7926
1680	164287	103	9400
1665	162710	118	10977
1655	161159	128	12528
1638	159625	145	14062
1621	158047	162	15640
1600	156491	183	17196
1591	154937	192	18750
1575	153402	208	20285
1563	151847	220	21840
1543	150323	240	23364
1527	148750	256	24937
1514	147185	269	26502
1503	145698	280	27989
1490	144097	293	29590
1474	142512	309	31175
1458	140963	325	32724
1442	139457	341	34230
1430	137919	353	35768
1410	136391	373	37296
1399	134889	384	38798
1382	133359	401	40328
1371	131872	412	41815
1360	130333	423	43354
1346	128845	437	44842
1331	127325	452	46362
1317	125751	466	47936
1308	124251	475	49436
1298	122755	485	50932
1278	121265	505	52422
1265	119822	518	53865
1251	118324	532	55363
1232	116857	551	56830
1219	115359	564	58328
1209	113905	574	59782
1193	112453	590	61234
1179	111017	604	62670
1170	109567	613	64120
1152	108090	631	65597
1136	106669	647	67018
1127	105198	656	68489
1110	103786	673	69901
1093	102431	690	71256
1072	100966	711	72721
1058	99517	725	74170
1044	98108	739	75579
1032	96698	751	76989
1014	95292	769	78395
1005	93896	778	79791
991	92533	792	81154
977	91165	806	82522
965	89767	818	83920
946	88446	837	85241
934	87023	849	86664
921	85726	862	87961
911	84407	872	89280
901	83111	882	90576
886	81744	897	91943
880	80467	903	93220
866	79219	917	94468
852	77895	931	95792
844	76651	939	97036
835	75322	948	98365
819	74062	964	99625
803	72777	980	100910
794	71542	989	102145
786	70279	997	103408
778	69048	1005	104639
770	67800	1013	105887
756	66585	1027	107102
746	65363	1037	108324
741	64152	1042	109535
730	62918	1053	110769
721	61696	1062	111991
703	60411	1080	113276
689	59169	1094	114518
683	57979	1100	115708
673	56762	1110	116925
659	55590	1124	118097
648	54436	1135	119251
638	53257	1145	120430
631	52153	1152	121534
626	50958	1157	122729
613	49825	1170	123862
602	48725	1181	124962
591	47654	1192	126033
578	46592	1205	127095
562	45484	1221	128203
553	44378	1230	129309
541	43342	1242	130345
530	42296	1253	131391
522	41234	1261	132453
514	40246	1269	133441
496	39280	1287	134407
485	38188	1298	135499
472	37179	1311	136508
462	36190	1321	137497
454	35254	1329	138433
437	34329	1346	139358
430	33405	1353	140282
422	32451	1361	141236
412	31514	1371	142173
399	30588	1384	143099
394	29686	1389	144001
385	28835	1398	144852
367	27967	1416	145720
359	27127	1424	146560
350	26270	1433	147417
336	25452	1447	148235
330	24648	1453	149039
321	23870	1462	149817
316	23050	1467	150637
305	22273	1478	151414
294	21552	1489	152135
287	20855	1496	152832
280	20167	1503	153520
272	19453	1511	154234
265	18786	1518	154901
260	18131	1523	155556
248	17447	1535	156240
241	16786	1542	156901
237	16076	1546	157611
231	15419	1552	158268
228	14815	1555	158872
219	14229	1564	159458
207	13608	1576	160079
199	13017	1584	160670
195	12421	1588	161266
182	11829	1601	161858
178	11324	1605	162363
170	10790	1613	162897
161	10293	1622	163394
154	9750	1629	163937
150	9254	1633	164433
145	8744	1638	164943
135	8284	1648	165403
131	7855	1652	165832
129	7430	1654	166257
120	7023	1663	166664
113	6632	1670	167055
106	6266	1677	167421
103	5899	1680	167788
97	5513	1686	168174
92	5198	1691	168489
87	4841	1696	168846
83	4533	1700	169154
81	4238	1702	169449
74	3927	1709	169760
71	3645	1712	170042
68	3403	1715	170284
65	3139	1718	170548
61	2907	1722	170780
59	2666	1724	171021
54	2452	1729	171235
49	2226	1734	171461
44	2010	1739	171677
44	1815	1739	171872
42	1635	1741	172052
39	1489	1744	172198
35	1333	1748	172354
31	1187	1752	172500
29	1046	1754	172641
28	921	1755	172766
28	814	1755	172873
24	719	1759	172968
22	634	1761	173053
22	560	1761	173127
19	481	1764	173206
16	412	1767	173275
15	347	1768	173340
11	283	1772	173404
10	244	1773	173443
9	209	1774	173478
9	169	1774	173518
8	134	1775	173553
5	100	1778	173587
5	71	1778	173616
5	49	1778	173638
5	36	1778	173651
3	25	1780	173662
3	18	1780	173669
2	8	1781	173679
0	3	1783	173684
0	2	1783	173685
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
