tp      fp      fn      tn
677186  5413769 0       0
671001  5361019 6185    52750
664847  5308561 12339   105208
658621  5255720 18565   158049
652572  5202587 24614   211182
646391  5150103 30795   263666
640378  5097183 36808   316586
634154  5044639 43032   369130
627950  4992503 49236   421266
621728  4939927 55458   473842
615724  4887280 61462   526489
609620  4834934 67566   578835
603550  4782916 73636   630853
597275  4731022 79911   682747
591214  4678527 85972   735242
585083  4626345 92103   787424
579054  4574280 98132   839489
572994  4522381 104192  891388
566903  4470432 110283  943337
560721  4418473 116465  995296
554657  4366758 122529  1047011
548416  4315295 128770  1098474
542396  4263900 134790  1149869
536279  4212372 140907  1201397
530229  4160376 146957  1253393
524308  4109400 152878  1304369
518464  4057818 158722  1355951
512500  4006555 164686  1407214
506417  3955478 170769  1458291
500443  3904645 176743  1509124
494374  3853804 182812  1559965
488375  3802989 188811  1610780
482447  3752310 194739  1661459
476408  3701796 200778  1711973
470549  3651101 206637  1762668
464588  3601312 212598  1812457
458728  3551436 218458  1862333
452844  3501581 224342  1912188
447008  3451924 230178  1961845
441077  3402791 236109  2010978
435290  3353655 241896  2060114
429501  3304752 247685  2109017
423876  3255737 253310  2158032
418147  3207354 259039  2206415
412309  3158816 264877  2254953
406565  3110714 270621  2303055
400801  3062982 276385  2350787
395107  3015272 282079  2398497
389441  2967562 287745  2446207
383766  2920146 293420  2493623
378267  2873233 298919  2540536
372609  2826628 304577  2587141
367103  2779760 310083  2634009
361529  2733461 315657  2680308
355898  2687269 321288  2726500
350330  2641285 326856  2772484
344827  2595658 332359  2818111
339370  2550165 337816  2863604
333884  2504904 343302  2908865
328483  2459982 348703  2953787
322989  2415265 354197  2998504
317617  2371116 359569  3042653
312449  2327456 364737  3086313
307088  2283730 370098  3130039
301681  2240672 375505  3173097
296401  2197284 380785  3216485
291267  2154504 385919  3259265
286070  2111969 391116  3301800
280877  2069680 396309  3344089
275701  2028092 401485  3385677
270589  1986577 406597  3427192
265507  1945494 411679  3468275
260482  1904246 416704  3509523
255443  1863677 421743  3550092
250423  1823597 426763  3590172
245476  1783666 431710  3630103
240597  1744262 436589  3669507
235848  1704993 441338  3708776
231092  1665988 446094  3747781
226265  1627533 450921  3786236
221557  1589459 455629  3824310
216891  1551928 460295  3861841
212220  1514745 464966  3899024
207589  1477666 469597  3936103
202983  1441102 474203  3972667
198392  1404902 478794  4008867
193801  1369210 483385  4044559
189243  1333660 487943  4080109
184820  1298902 492366  4114867
180335  1264418 496851  4149351
175945  1230297 501241  4183472
171728  1196588 505458  4217181
167545  1163316 509641  4250453
163356  1130823 513830  4282946
159155  1098586 518031  4315183
155146  1066879 522040  4346890
151099  1035333 526087  4378436
147129  1004212 530057  4409557
143289  973672  533897  4440097
139379  943847  537807  4469922
135581  914209  541605  4499560
131776  885230  545410  4528539
128027  856335  549159  4557434
124438  828499  552748  4585270
120894  800996  556292  4612773
117382  773894  559804  4639875
113772  747294  563414  4666475
110409  721146  566777  4692623
106998  695835  570188  4717934
103634  670783  573552  4742986
100262  646360  576924  4767409
97049   622594  580137  4791175
93861   599302  583325  4814467
90828   576063  586358  4837706
87658   553599  589528  4860170
84723   531782  592463  4881987
81863   510067  595323  4903702
78961   489420  598225  4924349
76242   469253  600944  4944516
73455   449531  603731  4964238
70757   430350  606429  4983419
68118   411565  609068  5002204
65564   393571  611622  5020198
63127   375835  614059  5037934
60709   358581  616477  5055188
58285   341841  618901  5071928
55978   325684  621208  5088085
53855   310271  623331  5103498
51763   295313  625423  5118456
49669   280773  627517  5132996
47673   266891  629513  5146878
45676   253332  631510  5160437
43713   240214  633473  5173555
41797   227539  635389  5186230
39979   215388  637207  5198381
38210   203565  638976  5210204
36439   192091  640747  5221678
34792   180951  642394  5232818
33211   170355  643975  5243414
31632   159970  645554  5253799
30081   150278  647105  5263491
28622   140921  648564  5272848
27186   132089  650000  5281680
25802   123590  651384  5290179
24459   115471  652727  5298298
23202   107757  653984  5306012
21992   100317  655194  5313452
20801   93345   656385  5320424
19727   86703   657459  5327066
18669   80378   658517  5333391
17651   74450   659535  5339319
16677   68890   660509  5344879
15752   63582   661434  5350187
14806   58611   662380  5355158
13923   53974   663263  5359795
13063   49412   664123  5364357
12249   45077   664937  5368692
11478   41192   665708  5372577
10746   37490   666440  5376279
10087   33986   667099  5379783
9386    30715   667800  5383054
8712    27595   668474  5386174
8114    24731   669072  5389038
7588    22029   669598  5391740
7064    19620   670122  5394149
6529    17374   670657  5396395
6024    15240   671162  5398529
5543    13348   671643  5400421
5138    11576   672048  5402193
4736    10026   672450  5403743
4341    8526    672845  5405243
3985    7197    673201  5406572
3611    5992    673575  5407777
3312    4965    673874  5408804
3004    4048    674182  5409721
2710    3281    674476  5410488
2424    2621    674762  5411148
2161    2046    675025  5411723
1905    1515    675281  5412254
1661    1104    675525  5412665
1433    799     675753  5412970
1198    552     675988  5413217
1006    342     676180  5413427
790     199     676396  5413570
597     97      676589  5413672
422     42      676764  5413727
274     15      676912  5413754
164     6       677022  5413763
91      2       677095  5413767
43      1       677143  5413768
13      1       677173  5413768
1       0       677185  5413769
