tp_s	fp_s	fn_s	tn_s
677186	5413769	0	0
671062	5361288	6124	52481
665007	5308857	12179	104912
659006	5256445	18180	157324
652910	5204071	24276	209698
646743	5151369	30443	262400
640798	5098997	36388	314772
634720	5046131	42466	367638
628700	4993472	48486	420297
622641	4940718	54545	473051
616677	4888255	60509	525514
610747	4835649	66439	578120
604605	4783518	72581	630251
598553	4731289	78633	682480
592515	4678886	84671	734883
586448	4626577	90738	787192
580491	4574409	96695	839360
574374	4522351	102812	891418
568604	4470729	108582	943040
562403	4418552	114783	995217
556531	4366634	120655	1047135
550505	4315267	126681	1098502
544455	4263040	132731	1150729
538565	4211731	138621	1202038
532403	4160399	144783	1253370
526322	4109310	150864	1304459
520347	4058091	156839	1355678
514481	4007279	162705	1406490
508503	3956551	168683	1457218
502652	3905788	174534	1507981
496670	3855334	180516	1558435
490846	3805060	186340	1608709
484805	3754888	192381	1658881
479041	3704778	198145	1708991
473031	3654661	204155	1759108
467113	3605022	210073	1808747
461257	3555290	215929	1858479
455490	3505599	221696	1908170
449629	3456443	227557	1957326
443880	3406716	233306	2007053
438071	3357740	239115	2056029
432199	3308943	244987	2104826
426306	3260539	250880	2153230
420565	3212127	256621	2201642
414891	3164051	262295	2249718
409075	3116407	268111	2297362
403360	3068856	273826	2344913
397726	3021343	279460	2392426
392052	2973934	285134	2439835
386425	2926816	290761	2486953
380802	2880300	296384	2533469
375104	2833777	302082	2579992
369640	2787447	307546	2626322
364176	2741281	313010	2672488
358608	2695465	318578	2718304
353040	2650378	324146	2763391
347564	2605172	329622	2808597
342091	2560263	335095	2853506
336750	2515772	340436	2897997
331392	2471487	345794	2942282
325986	2427654	351200	2986115
320693	2383830	356493	3029939
315570	2340181	361616	3073588
310331	2297169	366855	3116600
304975	2254305	372211	3159464
299760	2211817	377426	3201952
294513	2169218	382673	3244551
289413	2127316	387773	3286453
284356	2085689	392830	3328080
279328	2044333	397858	3369436
274265	2003527	402921	3410242
269174	1962865	408012	3450904
264224	1922564	412962	3491205
259302	1882459	417884	3531310
254278	1842515	422908	3571254
249336	1803248	427850	3610521
244347	1764197	432839	3649572
239507	1725602	437679	3688167
234552	1687459	442634	3726310
229854	1649305	447332	3764464
225161	1611712	452025	3802057
220509	1574571	456677	3839198
215826	1537869	461360	3875900
211149	1501321	466037	3912448
206661	1465429	470525	3948340
202077	1429790	475109	3983979
197597	1394252	479589	4019517
193065	1359505	484121	4054264
188616	1324876	488570	4088893
184310	1291218	492876	4122551
179971	1257326	497215	4156443
175631	1223864	501555	4189905
171420	1190994	505766	4222775
167231	1158711	509955	4255058
163089	1126788	514097	4286981
159073	1095360	518113	4318409
155055	1064146	522131	4349623
151079	1033585	526107	4380184
147101	1003231	530085	4410538
143224	973333	533962	4440436
139400	944128	537786	4469641
135529	915464	541657	4498305
131852	886873	545334	4526896
128116	859081	549070	4554688
124480	831712	552706	4582057
120782	804840	556404	4608929
117083	778331	560103	4635438
113627	752432	563559	4661337
110160	726662	567026	4687107
106718	701683	570468	4712086
103417	677084	573769	4736685
100256	652840	576930	4760929
97167	629119	580019	4784650
93970	605747	583216	4808022
90816	582926	586370	4830843
87708	560592	589478	4853177
84779	538855	592407	4874914
81795	517804	595391	4895965
78950	497004	598236	4916765
76125	476572	601061	4937197
73382	456632	603804	4957137
70649	437220	606537	4976549
67977	418120	609209	4995649
65463	399660	611723	5014109
62979	381669	614207	5032100
60478	364262	616708	5049507
58022	347118	619164	5066651
55681	330537	621505	5083232
53344	314421	623842	5099348
51136	298819	626050	5114950
48933	283806	628253	5129963
46849	268967	630337	5144802
44768	254847	632418	5158922
42698	240956	634488	5172813
40718	227550	636468	5186219
38823	214719	638363	5199050
36942	202448	640244	5211321
35149	190613	642037	5223156
33445	179131	643741	5234638
31795	168196	645391	5245573
30171	157718	647015	5256051
28562	147520	648624	5266249
26951	137895	650235	5275874
25515	128493	651671	5285276
24014	119632	653172	5294137
22610	111111	654576	5302658
21292	102849	655894	5310920
19976	95259	657210	5318510
18773	87932	658413	5325837
17645	80949	659541	5332820
16492	74429	660694	5339340
15412	68150	661774	5345619
14378	62236	662808	5351533
13379	56638	663807	5357131
12425	51416	664761	5362353
11512	46551	665674	5367218
10619	41978	666567	5371791
9747	37767	667439	5376002
8993	33816	668193	5379953
8191	30211	668995	5383558
7486	26832	669700	5386937
6872	23691	670314	5390078
6275	20877	670911	5392892
5677	18298	671509	5395471
5104	15914	672082	5397855
4565	13695	672621	5400074
4096	11716	673090	5402053
3685	9965	673501	5403804
3298	8401	673888	5405368
2911	7038	674275	5406731
2572	5814	674614	5407955
2217	4703	674969	5409066
1909	3783	675277	5409986
1627	3025	675559	5410744
1368	2338	675818	5411431
1139	1785	676047	5411984
910	1356	676276	5412413
729	955	676457	5412814
562	679	676624	5413090
440	458	676746	5413311
338	290	676848	5413479
265	186	676921	5413583
198	91	676988	5413678
117	37	677069	5413732
86	20	677100	5413749
49	8	677137	5413761
28	3	677158	5413766
15	2	677171	5413767
12	1	677174	5413768
9	1	677177	5413768
8	0	677178	5413769
3	0	677183	5413769
