tp_s	fp_s	fn_s	tn_s
677186	5413769	0	0
670982	5361576	6204	52193
664892	5308520	12294	105249
658741	5256124	18445	157645
652635	5203310	24551	210459
646557	5150737	30629	263032
640465	5098502	36721	315267
634241	5046339	42945	367430
628018	4993790	49168	419979
621927	4941734	55259	472035
615916	4889455	61270	524314
609769	4837290	67417	576479
603716	4785494	73470	628275
597567	4733298	79619	680471
591469	4681121	85717	732648
585364	4629620	91822	784149
579186	4577757	98000	836012
573093	4525800	104093	887969
566871	4474096	110315	939673
560915	4422270	116271	991499
554720	4370598	122466	1043171
548608	4319099	128578	1094670
542660	4267836	134526	1145933
536694	4216830	140492	1196939
530707	4165178	146479	1248591
524638	4113895	152548	1299874
518718	4062956	158468	1350813
512636	4011603	164550	1402166
506624	3960917	170562	1452852
500576	3910173	176610	1503596
494645	3859884	182541	1553885
488754	3809282	188432	1604487
482792	3758937	194394	1654832
476827	3708649	200359	1705120
471003	3658338	206183	1755431
465188	3608592	211998	1805177
459323	3558958	217863	1854811
453503	3509233	223683	1904536
447596	3459836	229590	1953933
441802	3410681	235384	2003088
436024	3361877	241162	2051892
430259	3313200	246927	2100569
424322	3264411	252864	2149358
418537	3216165	258649	2197604
412783	3168169	264403	2245600
407148	3119929	270038	2293840
401432	3072136	275754	2341633
395703	3024640	281483	2389129
390134	2977388	287052	2436381
384555	2930104	292631	2483665
378992	2883008	298194	2530761
373549	2836286	303637	2577483
367958	2789750	309228	2624019
362338	2743191	314848	2670578
356660	2697353	320526	2716416
351165	2651431	326021	2762338
345770	2605984	331416	2807785
340149	2560702	337037	2853067
334763	2515412	342423	2898357
329431	2470425	347755	2943344
324121	2425917	353065	2987852
318852	2381838	358334	3031931
313474	2338334	363712	3075435
308178	2294470	369008	3119299
302897	2251089	374289	3162680
297501	2208189	379685	3205580
292307	2165470	384879	3248299
287112	2122872	390074	3290897
281872	2080562	395314	3333207
276666	2038724	400520	3375045
271562	1997318	405624	3416451
266482	1955969	410704	3457800
261415	1915190	415771	3498579
256327	1874689	420859	3539080
251332	1834331	425854	3579438
246418	1794268	430768	3619501
241588	1754347	435598	3659422
236744	1715106	440442	3698663
231871	1676324	445315	3737445
227035	1637817	450151	3775952
222336	1599679	454850	3814090
217730	1561915	459456	3851854
213153	1524673	464033	3889096
208482	1487849	468704	3925920
203975	1451331	473211	3962438
199292	1414765	477894	3999004
194727	1378616	482459	4035153
190156	1343159	487030	4070610
185794	1308312	491392	4105457
181469	1273771	495717	4139998
177111	1239535	500075	4174234
172871	1205478	504315	4208291
168565	1172084	508621	4241685
164400	1139231	512786	4274538
160168	1107014	517018	4306755
155967	1074922	521219	4338847
151826	1043595	525360	4370174
147893	1012434	529293	4401335
144025	981735	533161	4432034
140205	951746	536981	4462023
136400	922210	540786	4491559
132614	892963	544572	4520806
128924	864291	548262	4549478
125327	836368	551859	4577401
121657	808866	555529	4604903
118147	781776	559039	4631993
114690	754897	562496	4658872
111262	728603	565924	4685166
107831	702974	569355	4710795
104427	678075	572759	4735694
101205	653539	575981	4760230
97853	629544	579333	4784225
94613	605978	582573	4807791
91509	582984	585677	4830785
88415	560303	588771	4853466
85409	538066	591777	4875703
82471	516661	594715	4897108
79620	495674	597566	4918095
76820	475408	600366	4938361
74118	455728	603068	4958041
71377	436303	605809	4977466
68768	417349	608418	4996420
66203	398979	610983	5014790
63722	381216	613464	5032553
61265	363784	615921	5049985
58905	347033	618281	5066736
56629	330778	620557	5082991
54368	315243	622818	5098526
52267	299959	624919	5113810
50133	285429	627053	5128340
48134	271198	629052	5142571
46164	257668	631022	5156101
44147	244598	633039	5169171
42202	231720	634984	5182049
40327	219320	636859	5194449
38616	207310	638570	5206459
36911	195662	640275	5218107
35148	184510	642038	5229259
33571	173774	643615	5239995
32010	163341	645176	5250428
30429	153373	646757	5260396
28972	143961	648214	5269808
27578	134897	649608	5278872
26129	126261	651057	5287508
24785	117981	652401	5295788
23455	110157	653731	5303612
22244	102787	654942	5310982
21115	95569	656071	5318200
19964	88841	657222	5324928
18849	82345	658337	5331424
17866	76158	659320	5337611
16889	70461	660297	5343308
15942	65167	661244	5348602
14994	60204	662192	5353565
14094	55352	663092	5358417
13222	50742	663964	5363027
12391	46439	664795	5367330
11636	42356	665550	5371413
10875	38571	666311	5375198
10175	35085	667011	5378684
9530	31732	667656	5382037
8844	28531	668342	5385238
8223	25577	668963	5388192
7673	22778	669513	5390991
7135	20292	670051	5393477
6598	17929	670588	5395840
6103	15775	671083	5397994
5625	13801	671561	5399968
5196	11983	671990	5401786
4765	10371	672421	5403398
4358	8837	672828	5404932
3991	7514	673195	5406255
3630	6238	673556	5407531
3300	5163	673886	5408606
2978	4192	674208	5409577
2686	3377	674500	5410392
2397	2686	674789	5411083
2125	2105	675061	5411664
1875	1564	675311	5412205
1629	1146	675557	5412623
1382	842	675804	5412927
1160	570	676026	5413199
970	360	676216	5413409
747	203	676439	5413566
564	99	676622	5413670
396	47	676790	5413722
258	15	676928	5413754
158	5	677028	5413764
85	2	677101	5413767
42	1	677144	5413768
13	1	677173	5413768
1	0	677185	5413769
