tp_s	fp_s	fn_s	tn_s
677186	5413766	0	3
671094	5361319	6092	52450
665101	5308612	12085	105157
658865	5255887	18321	157882
652768	5202922	24418	210847
646835	5149715	30351	264054
640883	5096935	36303	316834
634773	5044391	42413	369378
628635	4991730	48551	422039
622609	4938754	54577	475015
616590	4886138	60596	527631
610446	4833670	66740	580099
604393	4780669	72793	633100
598455	4727873	78731	685896
592368	4675213	84818	738556
586335	4622877	90851	790892
580347	4570382	96839	843387
574353	4518405	102833	895364
568289	4466405	108897	947364
562329	4413924	114857	999845
556317	4362251	120869	1051518
550200	4310375	126986	1103394
544197	4258416	132989	1155353
538318	4206565	138868	1207204
532175	4154842	145011	1258927
526078	4104071	151108	1309698
520150	4052870	157036	1360899
514208	4001557	162978	1412212
508230	3950593	168956	1463176
502160	3900068	175026	1513701
496286	3849124	180900	1564645
490351	3798229	186835	1615540
484497	3748296	192689	1665473
478675	3698017	198511	1715752
472767	3647982	204419	1765787
467032	3597918	210154	1815851
461069	3548055	216117	1865714
455146	3498465	222040	1915304
449203	3448981	227983	1964788
443261	3399973	233925	2013796
437444	3350835	239742	2062934
431702	3302111	245484	2111658
425884	3253607	251302	2160162
420115	3204947	257071	2208822
414307	3156438	262879	2257331
408537	3108258	268649	2305511
402905	3060336	274281	2353433
397225	3013101	279961	2400668
391540	2965451	285646	2448318
385883	2918353	291303	2495416
380313	2871621	296873	2542148
374721	2825050	302465	2588719
369009	2778598	308177	2635171
363501	2732633	313685	2681136
358038	2686247	319148	2727522
352566	2640808	324620	2772961
347104	2595810	330082	2817959
341645	2551117	335541	2862652
336227	2506405	340959	2907364
330949	2462493	346237	2951276
325663	2418801	351523	2994968
320254	2375109	356932	3038660
314977	2331452	362209	3082317
309668	2288494	367518	3125275
304439	2245643	372747	3168126
299238	2203013	377948	3210756
294039	2160132	383147	3253637
288949	2118072	388237	3295697
283699	2076532	393487	3337237
278560	2034870	398626	3378899
273448	1993987	403738	3419782
268469	1953449	408717	3460320
263379	1913087	413807	3500682
258460	1872780	418726	3540989
253570	1832928	423616	3580841
248684	1793554	428502	3620215
243766	1754854	433420	3658915
238913	1716164	438273	3697605
234073	1677924	443113	3735845
229227	1639844	447959	3773925
224558	1602688	452628	3811081
219804	1565584	457382	3848185
215105	1528684	462081	3885085
210411	1492190	466775	3921579
205778	1456069	471408	3957700
201184	1420585	476002	3993184
196672	1385457	480514	4028312
192206	1350450	484980	4063319
187943	1315693	489243	4098076
183518	1281669	493668	4132100
179295	1247847	497891	4165922
174944	1214604	502242	4199165
170740	1182071	506446	4231698
166609	1150016	510577	4263753
162456	1118232	514730	4295537
158365	1086928	518821	4326841
154376	1056009	522810	4357760
150415	1025469	526771	4388300
146469	995495	530717	4418274
142637	965657	534549	4448112
138776	936660	538410	4477109
134876	908133	542310	4505636
131013	880301	546173	4533468
127299	852467	549887	4561302
123797	825342	553389	4588427
120126	798432	557060	4615337
116523	771935	560663	4641834
112978	746180	564208	4667589
109510	720748	567676	4693021
106137	695730	571049	4718039
102890	671140	574296	4742629
99584	647059	577602	4766710
96478	623666	580708	4790103
93440	600449	583746	4813320
90337	577941	586849	4835828
87299	555686	589887	4858083
84234	533964	592952	4879805
81348	513100	595838	4900669
78504	492599	598682	4921170
75623	472172	601563	4941597
72889	452535	604297	4961234
70186	433364	607000	4980405
67562	414547	609624	4999222
64974	396126	612212	5017643
62518	378198	614668	5035571
60156	360883	617030	5052886
57792	343916	619394	5069853
55465	327521	621721	5086248
53145	311659	624041	5102110
50860	296291	626326	5117478
48677	281288	628509	5132481
46502	266754	630684	5147015
44521	252565	632665	5161204
42571	238981	634615	5174788
40585	225711	636601	5188058
38622	213057	638564	5200712
36762	200728	640424	5213041
35055	189034	642131	5224735
33332	177663	643854	5236106
31655	166593	645531	5247176
30049	156211	647137	5257558
28363	146160	648823	5267609
26805	136596	650381	5277173
25317	127423	651869	5286346
23889	118570	653297	5295199
22469	110169	654717	5303600
21174	102024	656012	5311745
19908	94365	657278	5319404
18734	87025	658452	5326744
17532	80153	659654	5333616
16398	73643	660788	5340126
15318	67500	661868	5346269
14327	61614	662859	5352155
13287	56180	663899	5357589
12366	50968	664820	5362801
11458	46046	665728	5367723
10563	41536	666623	5372233
9740	37339	667446	5376430
8945	33479	668241	5380290
8226	29806	668960	5383963
7521	26494	669665	5387275
6839	23391	670347	5390378
6217	20610	670969	5393159
5679	18024	671507	5395745
5129	15672	672057	5398097
4558	13438	672628	5400331
4101	11541	673085	5402228
3695	9789	673491	5403980
3289	8214	673897	5405555
2885	6834	674301	5406935
2586	5598	674600	5408171
2235	4587	674951	5409182
1910	3674	675276	5410095
1624	2910	675562	5410859
1380	2218	675806	5411551
1131	1686	676055	5412083
903	1264	676283	5412505
717	893	676469	5412876
580	638	676606	5413131
448	425	676738	5413344
335	266	676851	5413503
257	166	676929	5413603
190	86	676996	5413683
116	34	677070	5413735
80	19	677106	5413750
49	8	677137	5413761
26	3	677160	5413766
15	2	677171	5413767
10	1	677176	5413768
9	1	677177	5413768
8	0	677178	5413769
3	0	677183	5413769
