tp_s	fp_s	fn_s	tn_s
676542	5408441	644	5328
672596	5375582	4590	38187
668726	5342422	8460	71347
664727	5309381	12459	104388
660880	5276381	16306	137388
657016	5243910	20170	169859
653073	5210957	24113	202812
649125	5177927	28061	235842
645258	5144933	31928	268836
641366	5112001	35820	301768
637427	5078872	39759	334897
633641	5045700	43545	368069
629695	5012951	47491	400818
625793	4980080	51393	433689
621993	4947151	55193	466618
616807	4902775	60379	510994
612930	4869649	64256	544120
609071	4836069	68115	577700
605223	4802934	71963	610835
601289	4770012	75897	643757
597340	4736812	79846	676957
593400	4703280	83786	710489
589416	4670139	87770	743630
585378	4636999	91808	776770
581406	4603526	95780	810243
577428	4570112	99758	843657
573531	4536599	103655	877170
569575	4502877	107611	910892
565496	4469369	111690	944400
561511	4435949	115675	977820
556161	4391271	121025	1022498
552140	4357865	125046	1055904
548226	4324514	128960	1089255
544237	4291135	132949	1122634
540243	4257529	136943	1156240
536208	4223486	140978	1190283
532111	4189763	145075	1224006
528095	4155948	149091	1257821
524089	4122021	153097	1291748
520054	4088469	157132	1325300
515989	4054672	161197	1359097
511962	4020913	165224	1392856
507890	3987128	169296	1426641
503906	3953097	173280	1460672
499935	3918918	177251	1494851
494446	3873629	182740	1540140
490462	3839700	186724	1574069
486203	3805827	190983	1607942
482061	3771622	195125	1642147
477953	3737356	199233	1676413
473944	3703059	203242	1710710
469860	3668799	207326	1744970
465752	3634555	211434	1779214
461567	3600372	215619	1813397
457415	3565924	219771	1847845
453363	3531194	223823	1882575
449347	3496668	227839	1917101
445160	3462235	232026	1951534
440967	3427450	236219	1986319
435377	3381835	241809	2031934
431269	3347009	245917	2066760
427029	3312573	250157	2101196
422872	3277518	254314	2136251
418704	3242849	258482	2170920
414572	3207757	262614	2206012
410393	3172814	266793	2240955
406297	3137895	270889	2275874
402028	3102959	275158	2310810
397709	3067888	279477	2345881
393415	3032929	283771	2380840
389134	2997846	288052	2415923
384830	2962783	292356	2450986
380573	2927322	296613	2486447
376381	2891975	300805	2521794
370471	2844753	306715	2569016
366151	2809605	311035	2604164
361842	2774218	315344	2639551
357506	2738779	319680	2674990
353163	2703420	324023	2710349
348963	2668121	328223	2745648
344552	2632979	332634	2780790
340255	2597638	336931	2816131
335906	2562124	341280	2851645
331689	2526717	345497	2887052
327287	2491217	349899	2922552
322929	2455731	354257	2958038
318491	2420113	358695	2993656
314073	2384712	363113	3029057
309534	2349094	367652	3064675
303543	2301556	373643	3112213
299102	2265742	378084	3148027
294603	2230441	382583	3183328
290184	2195037	387002	3218732
285687	2159326	391499	3254443
281276	2123786	395910	3289983
276863	2088362	400323	3325407
272330	2053003	404856	3360766
267838	2017563	409348	3396206
263424	1982159	413762	3431610
259018	1946829	418168	3466940
254491	1911124	422695	3502645
250067	1875681	427119	3538088
245583	1840598	431603	3573171
239722	1793881	437464	3619888
235318	1759028	441868	3654741
230895	1724269	446291	3689500
226453	1689274	450733	3724495
221997	1654366	455189	3759403
217491	1619912	459695	3793857
213062	1585450	464124	3828319
208505	1551136	468681	3862633
204059	1517050	473127	3896719
199662	1482923	477524	3930846
195282	1448938	481904	3964831
190784	1415118	486402	3998651
186397	1381858	490789	4031911
182001	1348111	495185	4065658
177537	1314714	499649	4099055
171735	1270154	505451	4143615
167335	1237306	509851	4176463
162954	1204735	514232	4209034
158831	1172279	518355	4241490
154625	1140125	522561	4273644
150408	1107822	526778	4305947
146282	1076281	530904	4337488
142122	1044729	535064	4369040
137961	1013128	539225	4400641
133899	982023	543287	4431746
129811	951366	547375	4462403
125870	921065	551316	4492704
121961	891203	555225	4522566
118009	861551	559177	4552218
114107	832167	563079	4581602
108958	793768	568228	4620001
105086	765584	572100	4648185
101302	737605	575884	4676164
97613	709784	579573	4703985
93903	682634	583283	4731135
90369	655960	586817	4757809
86773	629622	590413	4784147
83192	603235	593994	4810534
79804	577814	597382	4835955
76338	553050	600848	4860719
73034	528642	604152	4885127
69757	504547	607429	4909222
66547	481116	610639	4932653
63326	457755	613860	4956014
59145	427655	618041	4986114
56084	405694	621102	5008075
53139	384228	624047	5029541
50138	363285	627048	5050484
47314	342937	629872	5070832
44486	323466	632700	5090303
41751	304073	635435	5109696
39145	285397	638041	5128372
36610	267418	640576	5146351
34227	250199	642959	5163570
31945	233281	645241	5180488
29734	217114	647452	5196655
27665	201367	649521	5212402
25580	186445	651606	5227324
23668	171838	653518	5241931
21299	153461	655887	5260308
19629	140612	657557	5273157
18014	128171	659172	5285598
16450	116371	660736	5297398
15018	105136	662168	5308633
13650	94697	663536	5319072
12329	84859	664857	5328910
11092	75726	666094	5338043
9908	67222	667278	5346547
8765	59206	668421	5354563
7766	51698	669420	5362071
6826	44897	670360	5368872
5983	38702	671203	5375067
5150	32942	672036	5380827
4367	27769	672819	5386000
3452	21638	673734	5392131
2849	17650	674337	5396119
2315	14245	674871	5399524
1864	11156	675322	5402613
1437	8464	675749	5405305
1084	6126	676102	5407643
753	4242	676433	5409527
496	2744	676690	5411025
273	1579	676913	5412190
155	767	677031	5413002
57	280	677129	5413489
10	64	677176	5413705
4	6	677182	5413763
0	0	677186	5413769
0	0	677186	5413769
