tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3598	351389	37	3300
3568	348136	67	6553
3539	344802	96	9887
3507	341459	128	13230
3477	338160	158	16529
3454	334915	181	19774
3418	331673	217	23016
3390	328492	245	26197
3354	325255	281	29434
3330	322047	305	32642
3302	318746	333	35943
3264	315631	371	39058
3229	312442	406	42247
3193	309166	442	45523
3164	305992	471	48697
3126	302733	509	51956
3093	299540	542	55149
3055	296145	580	58544
3014	292951	621	61738
2986	289859	649	64830
2950	286730	685	67959
2920	283654	715	71035
2898	280501	737	74188
2874	277187	761	77502
2848	274158	787	80531
2816	271022	819	83667
2783	267914	852	86775
2748	264760	887	89929
2719	261636	916	93053
2689	258468	946	96221
2658	255295	977	99394
2628	252154	1007	102535
2599	249048	1036	105641
2577	245836	1058	108853
2544	242751	1091	111938
2513	239750	1122	114939
2481	236628	1154	118061
2454	233492	1181	121197
2433	230481	1202	124208
2406	227433	1229	127256
2375	224379	1260	130310
2342	221331	1293	133358
2306	218247	1329	136442
2282	215296	1353	139393
2245	212433	1390	142256
2223	209466	1412	145223
2191	206571	1444	148118
2162	203593	1473	151096
2132	200722	1503	153967
2096	197827	1539	156862
2064	194820	1571	159869
2051	191948	1584	162741
2010	189026	1625	165663
1984	186141	1651	168548
1959	183370	1676	171319
1923	180446	1712	174243
1899	177566	1736	177123
1876	174757	1759	179932
1856	171943	1779	182746
1829	169081	1806	185608
1804	166264	1831	188425
1776	163391	1859	191298
1751	160595	1884	194094
1730	157851	1905	196838
1705	155141	1930	199548
1687	152369	1948	202320
1665	149564	1970	205125
1640	146996	1995	207693
1612	144309	2023	210380
1585	141539	2050	213150
1570	138833	2065	215856
1542	136146	2093	218543
1515	133550	2120	221139
1488	130955	2147	223734
1469	128257	2166	226432
1430	125745	2205	228944
1416	123211	2219	231478
1398	120518	2237	234171
1368	117996	2267	236693
1345	115453	2290	239236
1319	112941	2316	241748
1294	110477	2341	244212
1268	108069	2367	246620
1247	105595	2388	249094
1226	103216	2409	251473
1207	100747	2428	253942
1182	98342	2453	256347
1153	96044	2482	258645
1123	93726	2512	260963
1097	91356	2538	263333
1067	89110	2568	265579
1041	86856	2594	267833
1019	84687	2616	270002
1002	82443	2633	272246
979	80300	2656	274389
951	78068	2684	276621
925	75977	2710	278712
909	73832	2726	280857
892	71723	2743	282966
870	69701	2765	284988
849	67605	2786	287084
832	65567	2803	289122
813	63621	2822	291068
797	61740	2838	292949
782	59849	2853	294840
762	57959	2873	296730
742	56129	2893	298560
728	54223	2907	300466
714	52450	2921	302239
688	50719	2947	303970
669	48987	2966	305702
643	47334	2992	307355
619	45687	3016	309002
599	44086	3036	310603
582	42446	3053	312243
562	40785	3073	313904
544	39271	3091	315418
529	37763	3106	316926
513	36278	3122	318411
502	34865	3133	319824
485	33496	3150	321193
465	32162	3170	322527
449	30817	3186	323872
435	29557	3200	325132
421	28296	3214	326393
409	27051	3226	327638
401	25892	3234	328797
389	24759	3246	329930
378	23624	3257	331065
358	22561	3277	332128
342	21473	3293	333216
327	20422	3308	334267
315	19394	3320	335295
309	18529	3326	336160
289	17600	3346	337089
280	16696	3355	337993
273	15827	3362	338862
262	14977	3373	339712
251	14185	3384	340504
244	13385	3391	341304
236	12620	3399	342069
230	11907	3405	342782
214	11237	3421	343452
205	10554	3430	344135
197	9931	3438	344758
186	9338	3449	345351
176	8789	3459	345900
168	8238	3467	346451
156	7706	3479	346983
150	7185	3485	347504
146	6730	3489	347959
137	6275	3498	348414
131	5865	3504	348824
123	5489	3512	349200
118	5088	3517	349601
108	4705	3527	349984
100	4330	3535	350359
96	3985	3539	350704
90	3652	3545	351037
80	3337	3555	351352
73	3039	3562	351650
71	2755	3564	351934
66	2483	3569	352206
63	2235	3572	352454
60	2019	3575	352670
53	1778	3582	352911
50	1581	3585	353108
48	1374	3587	353315
39	1218	3596	353471
35	1053	3600	353636
32	904	3603	353785
27	772	3608	353917
25	648	3610	354041
22	541	3613	354148
21	442	3614	354247
18	363	3617	354326
17	290	3618	354399
11	208	3624	354481
9	149	3626	354540
6	114	3629	354575
4	68	3631	354621
3	40	3632	354649
2	24	3633	354665
2	12	3633	354677
2	3	3633	354686
1	1	3634	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
