tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3600	351370	35	3319
3561	348040	74	6649
3535	344752	100	9937
3499	341441	136	13248
3466	338131	169	16558
3436	335047	199	19642
3401	331765	234	22924
3367	328481	268	26208
3336	325224	299	29465
3294	321957	341	32732
3261	318762	374	35927
3231	315523	404	39166
3191	312341	444	42348
3153	309089	482	45600
3115	305736	520	48953
3080	302497	555	52192
3058	299234	577	55455
3036	296064	599	58625
3002	292745	633	61944
2977	289452	658	65237
2952	286204	683	68485
2919	282954	716	71735
2886	279763	749	74926
2851	276496	784	78193
2818	273311	817	81378
2793	270129	842	84560
2771	267006	864	87683
2742	263737	893	90952
2711	260618	924	94071
2682	257430	953	97259
2660	254249	975	100440
2629	251138	1006	103551
2595	248011	1040	106678
2565	244782	1070	109907
2541	241672	1094	113017
2505	238618	1130	116071
2479	235520	1156	119169
2451	232385	1184	122304
2423	229264	1212	125425
2394	226152	1241	128537
2358	223032	1277	131657
2331	219994	1304	134695
2302	216974	1333	137715
2275	213952	1360	140737
2244	211035	1391	143654
2204	208099	1431	146590
2170	205043	1465	149646
2139	201991	1496	152698
2113	199016	1522	155673
2080	196037	1555	158652
2046	193171	1589	161518
2020	190188	1615	164501
1994	187278	1641	167411
1958	184448	1677	170241
1930	181641	1705	173048
1895	178771	1740	175918
1866	175876	1769	178813
1837	173097	1798	181592
1814	170281	1821	184408
1779	167588	1856	187101
1759	164883	1876	189806
1739	162169	1896	192520
1723	159491	1912	195198
1705	156771	1930	197918
1687	154080	1948	200609
1667	151385	1968	203304
1643	148645	1992	206044
1615	145949	2020	208740
1604	143273	2031	211416
1576	140623	2059	214066
1549	138037	2086	216652
1520	135473	2115	219216
1503	132889	2132	221800
1477	130294	2158	224395
1461	127793	2174	226896
1432	125197	2203	229492
1406	122609	2229	232080
1378	120105	2257	234584
1357	117582	2278	237107
1337	115119	2298	239570
1307	112601	2328	242088
1285	110220	2350	244469
1259	107739	2376	246950
1239	105381	2396	249308
1226	103013	2409	251676
1201	100625	2434	254064
1178	98372	2457	256317
1152	96076	2483	258613
1125	93763	2510	260926
1094	91582	2541	263107
1078	89344	2557	265345
1052	87134	2583	267555
1023	84996	2612	269693
1003	82860	2632	271829
979	80783	2656	273906
946	78696	2689	275993
927	76585	2708	278104
913	74507	2722	280182
890	72493	2745	282196
871	70503	2764	284186
847	68582	2788	286107
831	66641	2804	288048
819	64709	2816	289980
796	62779	2839	291910
779	60863	2856	293826
764	59023	2871	295666
734	57274	2901	297415
710	55469	2925	299220
696	53723	2939	300966
672	52016	2963	302673
653	50355	2982	304334
639	48780	2996	305909
618	47069	3017	307620
601	45448	3034	309241
580	43908	3055	310781
563	42444	3072	312245
543	40972	3092	313717
532	39465	3103	315224
521	38044	3114	316645
506	36650	3129	318039
491	35275	3144	319414
477	33843	3158	320846
462	32386	3173	322303
450	31048	3185	323641
442	29765	3193	324924
429	28523	3206	326166
413	27306	3222	327383
391	26037	3244	328652
380	24872	3255	329817
362	23673	3273	331016
351	22535	3284	332154
337	21475	3298	333214
322	20469	3313	334220
312	19384	3323	335305
299	18428	3336	336261
289	17436	3346	337253
273	16514	3362	338175
266	15638	3369	339051
262	14757	3373	339932
248	13903	3387	340786
237	13114	3398	341575
220	12369	3415	342320
212	11618	3423	343071
197	10889	3438	343800
189	10172	3446	344517
176	9498	3459	345191
168	8872	3467	345817
161	8262	3474	346427
149	7665	3486	347024
142	7101	3493	347588
134	6563	3501	348126
127	6078	3508	348611
118	5583	3517	349106
111	5115	3524	349574
105	4699	3530	349990
93	4271	3542	350418
85	3849	3550	350840
82	3451	3553	351238
75	3126	3560	351563
69	2802	3566	351887
62	2523	3573	352166
58	2253	3577	352436
55	1971	3580	352718
52	1740	3583	352949
46	1525	3589	353164
39	1322	3596	353367
39	1146	3596	353543
35	989	3600	353700
33	845	3602	353844
28	713	3607	353976
20	593	3615	354096
18	488	3617	354201
16	407	3619	354282
13	328	3622	354361
12	261	3623	354428
9	196	3626	354493
7	137	3628	354552
6	98	3629	354591
6	74	3629	354615
4	47	3631	354642
4	37	3631	354652
3	15	3632	354674
0	5	3635	354684
0	2	3635	354687
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
