tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3600	351438	35	3251
3565	348034	70	6655
3536	344780	99	9909
3509	341436	126	 13253
3478	338212	157	 16477
3451	335081	184	 19608
3420	331869	215	 22820
3393	328679	242	 26010
3359	325352	276	 29337
3332	322198	303	 32491
3297	318982	338	 35707
3261	315811	374	 38878
3232	312657	403	 42032
3194	309397	441	 45292
3159	306308	476	 48381
3129	303120	506	 51569
3089	299796	546	 54893
3061	296623	574	 58066
3027	293471	608	 61218
3004	290288	631	 64401
2968	287161	667	 67528
2934	284028	701	 70661
2900	280873	735	 73816
2876	277759	759	 76930
2846	274664	789	 80025
2821	271600	814	 83089
2787	268491	848	 86198
2756	265356	879	 89333
2727	262183	908	 92506
2692	258978	943	 95711
2673	255868	962	 98821
2641	252738	994	 101951
2610	249554	1025	105135
2582	246476	1053	108213
2552	243375	1083	111314
2524	240242	1111	114447
2492	237310	1143	117379
2459	234353	1176	120336
2423	231220	1212	123469
2395	228152	1240	126537
2368	225114	1267	129575
2345	222030	1290	132659
2324	219062	1311	135627
2294	216185	1341	138504
2261	213255	1374	141434
2228	210371	1407	144318
2203	207464	1432	147225
2173	204547	1462	150142
2135	201660	1500	153029
2101	198616	1534	156073
2069	195694	1566	158995
2039	192777	1596	161912
2020	189922	1615	164767
1994	187069	1641	167620
1968	184199	1667	170490
1938	181315	1697	173374
1903	178429	1732	176260
1876	175604	1759	179085
1852	172706	1783	181983
1834	169965	1801	184724
1810	167206	1825	187483
1789	164392	1846	190297
1763	161565	1872	193124
1736	158839	1899	195850
1713	156074	1922	198615
1690	153368	1945	201321
1670	150603	1965	204086
1650	148034	1985	206655
1623	145252	2012	209437
1600	142490	2035	212199
1572	139854	2063	214835
1547	137127	2088	217562
1521	134529	2114	220160
1484	131941	2151	222748
1464	129318	2171	225371
1438	126682	2197	228007
1419	124046	2216	230643
1392	121480	2243	233209
1374	118910	2261	235779
1347	116499	2288	238190
1324	114036	2311	240653
1301	111498	2334	243191
1275	109017	2360	245672
1252	106537	2383	248152
1230	104138	2405	250551
1208	101698	2427	252991
1187	99371	2448	255318
1167	96958	2468	257731
1140	94662	2495	260027
1109	92405	2526	262284
1078	90037	2557	264652
1047	87783	2588	266906
1027	85618	2608	269071
1004	83337	2631	271352
986	 81173	2649	273516
966	 79055	2669	275634
937	 76876	2698	277813
925	 74757	2710	279932
899	 72702	2736	281987
879	 70629	2756	284060
862	 68591	2773	286098
838	 66609	2797	288080
820	 64578	2815	290111
801	 62634	2834	292055
778	 60733	2857	293956
763	 58846	2872	295843
745	 56920	2890	297769
730	 55033	2905	299656
720	 53214	2915	301475
703	 51485	2932	303204
677	 49711	2958	304978
655	 48065	2980	306624
632	 46407	3003	308282
610	 44780	3025	309909
592	 43145	3043	311544
575	 41525	3060	313164
560	 39961	3075	314728
533	 38405	3102	316284
518	 36949	3117	317740
501	 35521	3134	319168
488	 34078	3147	320611
475	 32751	3160	321938
459	 31389	3176	323300
443	 30176	3192	324513
431	 28895	3204	325794
417	 27590	3218	327099
404	 26450	3231	328239
396	 25235	3239	329454
381	 24115	3254	330574
369	 23037	3266	331652
347	 21895	3288	332794
331	 20817	3304	333872
320	 19842	3315	334847
306	 18892	3329	335797
293	 18007	3342	336682
284	 17105	3351	337584
276	 16237	3359	338452
261	 15396	3374	339293
254	 14556	3381	340133
246	 13750	3389	340939
235	 12966	3400	341723
229	 12234	3406	342455
224	 11521	3411	343168
215	 10859	3420	343830
201	 10220	3434	344469
188	 9612	3447	345077
183	 9033	3452	345656
170	 8479	3465	346210
161	 7927	3474	346762
155	 7411	3480	347278
147	 6945	3488	347744
142	 6480	3493	348209
136	 6055	3499	348634
126	 5642	3509	349047
119	 5257	3516	349432
110	 4872	3525	349817
103	 4478	3532	350211
100	 4132	3535	350557
96	3783	3539	350906
81	3466	3554	351223
76	3151	3559	351538
72	2876	3563	351813
69	2602	3566	352087
66	2335	3569	352354
61	2109	3574	352580
55	1867	3580	352822
51	1658	3584	353031
48	1441	3587	353248
43	1275	3592	353414
36	1117	3599	353572
34	970	 3601	353719
27	814	 3608	353875
25	687	 3610	354002
24	573	 3611	354116
21	459	 3614	354230
20	387	 3615	354302
16	304	 3619	354385
14	228	 3621	354461
10	159	 3625	354530
6	122	 3629	354567
4	71	3631	354618
3	42	3632	354647
3	27	3632	354662
2	12	3633	354677
2	6	3633	354683
2	1	3633	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
