tp_s	fp_s	fn_s	tn_s
3635	354689	0	0
3609	351365	26	3324
3573	348055	62	6634
3537	344880	98	9809
3507	341644	128	13045
3479	338388	156	16301
3445	335146	190	19543
3423	331914	212	22775
3379	328682	256	26007
3336	325443	299	29246
3300	322222	335	32467
3255	319038	380	35651
3227	315838	408	38851
3204	312684	431	42005
3169	309406	466	45283
3133	306194	502	48495
3096	302961	539	51728
3066	299732	569	54957
3031	296606	604	58083
3009	293392	626	61297
2982	290169	653	64520
2959	286974	676	67715
2928	283724	707	70965
2897	280512	738	74177
2872	277273	763	77416
2837	274125	798	80564
2811	270875	824	83814
2779	267723	856	86966
2745	264605	890	90084
2712	261437	923	93252
2685	258341	950	96348
2656	255138	979	99551
2629	252049	1006	102640
2605	248933	1030	105756
2579	245834	1056	108855
2552	242745	1083	111944
2525	239680	1110	115009
2488	236564	1147	118125
2459	233506	1176	121183
2432	230471	1203	124218
2404	227366	1231	127323
2372	224403	1263	130286
2346	221287	1289	133402
2312	218215	1323	136474
2277	215239	1358	139450
2249	212212	1386	142477
2217	209211	1418	145478
2182	206361	1453	148328
2156	203505	1479	151184
2125	200581	1510	154108
2087	197681	1548	157008
2063	194661	1572	160028
2027	191735	1608	162954
1996	188783	1639	165906
1966	185930	1669	168759
1942	183075	1693	171614
1919	180222	1716	174467
1888	177487	1747	177202
1853	174714	1782	179975
1828	171929	1807	182760
1806	169202	1829	185487
1780	166472	1855	188217
1758	163728	1877	190961
1733	161104	1902	193585
1714	158448	1921	196241
1693	155727	1942	198962
1673	153084	1962	201605
1648	150417	1987	204272
1626	147794	2009	206895
1600	145095	2035	209594
1581	142424	2054	212265
1553	139790	2082	214899
1523	137173	2112	217516
1505	134616	2130	220073
1486	132120	2149	222569
1464	129578	2171	225111
1452	126904	2183	227785
1425	124480	2210	230209
1398	121908	2237	232781
1368	119405	2267	235284
1348	116953	2287	237736
1321	114458	2314	240231
1302	112025	2333	242664
1279	109616	2356	245073
1253	107216	2382	247473
1232	104793	2403	249896
1209	102432	2426	252257
1193	100120	2442	254569
1172	97863	 2463	256826
1150	95629	 2485	259060
1126	93397	 2509	261292
1108	91172	 2527	263517
1078	89025	 2557	265664
1045	86878	 2590	267811
1028	84698	 2607	269991
997	82605	 2638	272084
979	80489	 2656	274200
951	78409	 2684	276280
929	76318	 2706	278371
912	74284	 2723	280405
889	72281	 2746	282408
865	70377	 2770	284312
842	68435	 2793	286254
827	66438	 2808	288251
812	64576	 2823	290113
798	62666	 2837	292023
780	60804	 2855	293885
760	58988	 2875	295701
739	57155	 2896	297534
715	55425	 2920	299264
690	53714	 2945	300975
665	52028	 2970	302661
649	50344	 2986	304345
629	48638	 3006	306051
616	47015	 3019	307674
595	45446	 3040	309243
578	43885	 3057	310804
564	42350	 3071	312339
546	40909	 3089	313780
535	39443	 3100	315246
524	38028	 3111	316661
506	36655	 3129	318034
494	35227	 3141	319462
481	33885	 3154	320804
465	32506	 3170	322183
447	31146	 3188	323543
439	29815	 3196	324874
429	28534	 3206	326155
413	27319	 3222	327370
398	26157	 3237	328532
379	24928	 3256	329761
366	23740	 3269	330949
349	22647	 3286	332042
334	21598	 3301	333091
321	20566	 3314	334123
312	19583	 3323	335106
301	18554	 3334	336135
291	17557	 3344	337132
275	16590	 3360	338099
266	15658	 3369	339031
260	14871	 3375	339818
250	14037	 3385	340652
240	13234	 3395	341455
228	12489	 3407	342200
215	11760	 3420	342929
197	11003	 3438	343686
188	10288	 3447	344401
179	9622	3456	345067
172	8945	3463	345744
162	8364	3473	346325
156	7759	3479	346930
146	7195	3489	347494
134	6644	3501	348045
125	6110	3510	348579
118	5636	3517	349053
112	5156	3523	349533
106	4735	3529	349954
95	4299	3540	350390
89	3890	3546	350799
82	3504	3553	351185
75	3147	3560	351542
68	2839	3567	351850
64	2544	3571	352145
60	2273	3575	352416
56	1992	3579	352697
53	1763	3582	352926
47	1528	3588	353161
41	1323	3594	353366
39	1155	3596	353534
35	976	3600	353713
33	852	3602	353837
27	709	3608	353980
20	584	3615	354105
18	482	3617	354207
15	393	3620	354296
13	308	3622	354381
12	248	3623	354441
7	181	3628	354508
7	128	3628	354561
6	90	3629	354599
5	65	3630	354624
4	40	3631	354649
4	25	3631	354664
2	8	3633	354681
0	5	3635	354684
0	1	3635	354688
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
