tp_s	fp_s	fn_s	tn_s
3633	354356	2	333
3617	352285	18	2404
3593	350203	42	4486
3565	348134	70	6555
3538	346093	97	8596
3522	344099	113	10590
3500	342070	135	12619
3483	340084	152	14605
3460	338062	175	16627
3440	336056	195	18633
3418	333995	217	20694
3400	331951	235	22738
3382	329929	253	24760
3364	327947	271	26742
3350	326006	285	28683
3328	323221	307	31468
3312	321197	323	33492
3301	319050	334	35639
3284	316931	351	37758
3260	314901	375	39788
3238	312771	397	41918
3218	310646	417	44043
3200	308552	435	46137
3183	306444	452	48245
3163	304431	472	50258
3143	302355	492	52334
3115	300217	520	54472
3097	298140	538	56549
3075	295910	560	58779
3054	293820	581	60869
3027	291002	608	63687
3013	288955	622	65734
3002	286849	633	67840
2980	284763	655	69926
2957	282675	678	72014
2935	280548	700	74141
2910	278450	725	76239
2887	276291	748	78398
2865	274193	770	80496
2846	272075	789	82614
2820	269946	815	84743
2800	267836	835	86853
2778	265808	857	88881
2762	263696	873	90993
2745	261623	890	93066
2719	258860	916	95829
2698	256701	937	97988
2673	254590	962	100099
2653	252476	982	102213
2636	250339	999	104350
2617	248284	1018	106405
2598	246162	1037	108527
2572	244031	1063	110658
2549	242003	1086	112686
2525	239849	1110	114840
2496	237755	1139	116934
2472	235666	1163	119023
2452	233604	1183	121085
2425	231483	1210	123206
2393	228577	1242	126112
2365	226376	1270	128313
2343	224286	1292	130403
2321	222122	1314	132567
2295	220039	1340	134650
2278	217879	1357	136810
2261	215765	1374	138924
2243	213632	1392	141057
2225	211460	1410	143229
2197	209286	1438	145403
2174	207100	1461	147589
2148	204902	1487	149787
2132	202701	1503	151988
2107	200573	1528	154116
2089	198259	1546	156430
2059	195280	1576	159409
2033	193101	1602	161588
2017	190843	1618	163846
2002	188654	1633	166035
1975	186450	1660	168239
1961	184262	1674	170427
1935	182073	1700	172616
1916	179866	1719	174823
1893	177770	1742	176919
1882	175612	1753	179077
1864	173421	1771	181268
1840	171126	1795	183563
1814	168879	1821	185810
1786	166646	1849	188043
1762	164536	1873	190153
1728	161630	1907	193059
1700	159419	1935	195270
1684	157206	1951	197483
1668	155059	1967	199630
1648	152830	1987	201859
1631	150608	2004	204081
1606	148419	2029	206270
1581	146165	2054	208524
1562	144012	2073	210677
1544	141792	2091	212897
1526	139644	2109	215045
1499	137356	2136	217333
1481	135103	2154	219586
1457	132935	2178	221754
1419	130011	2216	224678
1400	127895	2235	226794
1382	125646	2253	229043
1362	123385	2273	231304
1350	121083	2285	233606
1327	119035	2308	235654
1301	116862	2334	237827
1283	114669	2352	240020
1267	112473	2368	242216
1246	110310	2389	244379
1228	108161	2407	246528
1212	106025	2423	248664
1194	103819	2441	250870
1172	101609	2463	253080
1146	99343	2489	255346
1121	96377	2514	258312
1104	94207	2531	260482
1083	92021	2552	262668
1063	89942	2572	264747
1050	87804	2585	266885
1034	85684	2601	269005
1015	83606	2620	271083
999	81480	2636	273209
983	79424	2652	275265
963	77350	2672	277339
942	75268	2693	279421
918	73229	2717	281460
896	71166	2739	283523
874	69176	2761	285513
851	67202	2784	287487
820	64521	2815	290168
799	62597	2836	292092
785	60671	2850	294018
763	58764	2872	295925
744	56840	2891	297849
725	54904	2910	299785
710	53022	2925	301667
690	51058	2945	303631
674	49148	2961	305541
649	47341	2986	307348
622	45510	3013	309179
600	43725	3035	310964
579	41969	3056	312720
565	40216	3070	314473
542	37970	3093	316719
524	36261	3111	318428
508	34613	3127	320076
490	32908	3145	321781
470	31312	3165	323377
450	29771	3185	324918
434	28277	3201	326412
421	26819	3214	327870
405	25334	3230	329355
392	23849	3243	330840
370	22460	3265	332229
349	21100	3286	333589
330	19748	3305	334941
314	18449	3321	336240
305	17217	3330	337472
283	15617	3352	339072
259	14432	3376	340257
249	13314	3386	341375
228	12262	3407	342427
215	11134	3420	343555
199	10128	3436	344561
185	9136	3450	345553
171	8176	3464	346513
153	7321	3482	347368
138	6511	3497	348178
128	5780	3507	348909
121	5082	3514	349607
108	4460	3527	350229
94	3868	3541	350821
79	3313	3556	351376
60	2585	3575	352104
50	2179	3585	352510
42	1797	3593	352892
33	1440	3602	353249
28	1098	3607	353591
23	835	3612	353854
18	613	3617	354076
16	414	3619	354275
12	252	3623	354437
8	141	3627	354548
7	60	3628	354629
1	23	3634	354666
1	3	3634	354686
0	0	3635	354689
0	0	3635	354689
