tp_s	fp_s	fn_s	tn_s
3633	354356	2	333
3601	350905	34	3784
3556	347484	79	7205
3522	344099	113	10590
3493	340735	142	13954
3452	336694	183	17995
3409	333331	226	21358
3382	329929	253	24760
3357	326648	278	28041
3320	322583	315	32106
3301	319050	334	35639
3268	315578	367	39111
3229	312060	406	42629
3195	307886	440	46803
3163	304431	472	50258
3122	300915	513	53774
3093	297371	542	57318
3048	293107	587	61582
3016	289612	619	65077
2990	286153	645	68536
2957	282675	678	72014
2919	279155	716	75534
2872	274902	763	79787
2836	271379	799	83310
2800	267836	835	86853
2769	264411	866	90278
2734	260248	901	94441
2698	256701	937	97988
2664	253189	971	101500
2628	249656	1007	105033
2587	245402	1048	109287
2549	242003	1086	112686
2503	238460	1132	116229
2466	234991	1169	119698
2416	230724	1219	123965
2373	227119	1262	127570
2338	223584	1297	131105
2295	220039	1340	134650
2262	216468	1373	138221
2232	212184	1403	142505
2194	208577	1441	146112
2148	204902	1487	149787
2112	201315	1523	153374
2079	196759	1556	157930
2033	193101	1602	161588
2006	189387	1629	165302
1971	185751	1664	168938
1931	181361	1704	173328
1893	177770	1742	176919
1871	174151	1764	180538
1829	170370	1806	184319
1776	165971	1859	188718
1741	162327	1894	192362
1695	158691	1940	195998
1668	155059	1967	199630
1637	151340	1998	203349
1588	146901	2047	207788
1557	143284	2078	211405
1526	139644	2109	215045
1483	135826	2152	218863
1436	131486	2199	223203
1400	127895	2235	226794
1370	124123	2265	230566
1343	120405	2292	234284
1294	116142	2341	238547
1267	112473	2368	242216
1233	108868	2402	245821
1207	105294	2428	249395
1162	100844	2473	253845
1129	97153	2506	257536
1099	93491	2536	261198
1063	89942	2572	264747
1036	86378	2599	268311
1003	82180	2632	272509
978	78732	2657	275957
942	75268	2693	279421
907	71845	2728	282844
860	67896	2775	286793
820	64521	2815	290168
791	61319	2844	293370
755	58087	2880	296602
720	54267	2915	300422
690	51058	2945	303631
657	47977	2978	306712
616	44908	3019	309781
572	41392	3063	313297
547	38522	3088	316167
518	35721	3117	318968
490	32908	3145	321781
455	30270	3180	324419
424	27315	3211	327374
401	24845	3234	329844
370	22460	3265	332229
337	20222	3298	334467
309	17584	3326	337105
283	15617	3352	339072
252	13693	3383	340996
221	11896	3414	342793
196	9801	3439	344888
171	8176	3464	346513
144	6779	3491	347910
127	5528	3508	349161
104	4261	3531	350428
79	3313	3556	351376
59	2457	3576	352232
42	1797	3593	352892
30	1205	3605	353484
20	684	3615	354005
15	362	3620	354327
8	141	3627	354548
2	37	3633	354652
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
0	0	3635	354689
