n_it	n_sub	mse_1	mse_2
10	10	0.127193775430227	0.128011502944302
10	10	0.127193775430227	0.128011502944302
20	10	0.122894964395702	0.125261699528252
30	10	0.120620106868092	0.126788883123692
40	10	0.121340653460049	0.127704731971059
50	10	0.119861337938252	0.125797233420828
100	10	0.120693759761019	0.125831896411558
10	20	0.0785522768617891	0.089071503399704
20	20	0.0854940890189468	0.0872065109850063
30	20	0.0839431118392227	0.0875924302891521
40	20	0.0843980003449486	0.085437960074228
50	20	0.0836480954915939	0.0859868110080008
100	20	0.0835914050896602	0.0862059451136521
10	30	0.107548778774592	0.119161615963908
20	30	0.104137800901208	0.105601995291662
30	30	0.103139175742783	0.107573530128607
40	30	0.103620375917889	0.107603641620178
50	30	0.102919568801004	0.10677177373917
100	30 	0.101873284938077	0.10953137245687
