n_it	n_sub	mse_1	mse_2
10	25	0.0503377279514792	0.052863690864076
10	25	0.0514629167645596	0.0477974667839144
10	25	0.0448486153468753	0.0523336310340874
10	25	0.0431756431624279	0.052360208833674
10	25	0.0490741789361329	0.0529478418288765
10	25	0.0487536690191206	0.0492365669211859
20	25	0.0442173782661463	0.0434102795907578
20	25	0.0395381477965452	0.0435777641331891
20	25	0.0435747112841957	0.046919213920984
20	25	0.04719719141092	0.044272623047897
20	25	0.0397015846933857	0.0447929047966352
20	25	0.0420331301187002	0.0425929168390737
30	25	0.0413846247579264	0.0425440345143527
30	25	0.0394369481377421	0.0423955647440656
30	25	0.0400003326547865	0.0408781506731249
30	25	0.038611169730888	0.040776326290356
30	25	0.0428447489399572	0.0431337724842854
30	25	0.0414281532519953	0.0436848982913186
40	25	0.038299106952308	0.040323094980391
40	25	0.0394263658708941	0.0405126424170057
40	25	0.039547678068935	0.0393729242580631
40	25	0.0424556632587769	0.0414641989148889
40	25	0.0402321989103708	0.0401211670433725
40	25	0.0395568893001361	0.039174182415518
