n_it	n_sub	mse_1	mse_2
10	30	0.107548778774592	0.119161615963908
10	30	0.101141925425932	0.103688870068927
10	30	0.100116340333462	0.107517614115422
10	30	0.104313460732253	0.112144364878021
10	30	0.0962612315265319	0.10820791466466
10	30	0.107694827805109	0.123294007151152
20	30	0.104703391911172	0.110017927919859
20	30	0.106830190566908	0.105667922795979
20	30	0.107378097155201	0.107391417663486
20	30	0.112193240484662	0.106074009615475
20	30	0.104208576462651	0.110520734015821
20	30	0.105175153495605	0.105653652412648
30	30	0.105589363507373	0.111038628490527
30	30	0.107234390266727	0.111229208129057
30	30	0.105987368348252	0.110492490501684
30	30	0.10797476906635	0.109479368649246
30	30	0.107479047984629	0.107755992103639
30	30	0.107566681323109	0.108433453400209
40	30	0.104705513009071	0.107338947300027
40	30	0.109037205383309	0.112764229735743
40	30	0.100039617512098	0.109657535413045
40	30	0.107066853920347	0.106748365112671
40	30	0.109760370412844	0.107699877428322
40	30	0.107128436798494	0.114881173898526
