tp_s	fp_s	fn_s	tn_s
330587	2638774	5876	49989
323277	2575583	13186	113180
316070	2513388	20393	175375
308634	2451119	27829	237644
301402	2389428	35061	299335
294057	2327704	42406	361059
286898	2265932	49565	422831
279582	2204768	56881	483995
272373	2143245	64090	545518
265097	2082150	71366	606613
258006	2021123	78457	667640
250747	1960249	85716	728514
243698	1899622	92765	789141
236489	1839818	99974	848945
229521	1780265	106942	908498
222584	1721667	113879	967096
215593	1663411	120870	1025352
208792	1605601	127671	1083162
201894	1548290	134569	1140473
195046	1492231	141417	1196532
188373	1436017	148090	1252746
181738	1380782	154725	1307981
175188	1326175	161275	1362588
168637	1271990	167826	1416773
162213	1218711	174250	1470052
155851	1166178	180612	1522585
149491	1114717	186972	1574046
143342	1063806	193121	1624957
137101	1013969	199362	1674794
131069	964854	205394	1723909
125125	916633	211338	1772130
119314	869419	217149	1819344
113668	822918	222795	1865845
107911	777777	228552	1910986
102376	733699	234087	1955064
96958	690631	239505	1998132
91523	648911	244940	2039852
86261	608203	250202	2080560
81360	568849	255103	2119914
76440	530830	260023	2157933
71749	493928	264714	2194835
67251	458301	269212	2230462
62790	423709	273673	2265054
58625	390982	277838	2297781
54544	359571	281919	2329192
50578	329816	285885	2358947
46743	301481	289720	2387282
43076	274312	293387	2414451
39630	248499	296833	2440264
36341	224548	300122	2464215
33206	202219	303257	2486544
30283	181217	306180	2507546
27509	161673	308954	2527090
24985	143582	311478	2545181
22611	127060	313852	2561703
20276	111664	316187	2577099
18171	97700	318292	2591063
16226	84719	320237	2604044
14394	72952	322069	2615811
12725	62457	323738	2626306
11235	53078	325228	2635685
9873	44612	326590	2644151
8660	37247	327803	2651516
7554	30770	328909	2657993
6539	25194	329924	2663569
5607	20289	330856	2668474
4788	16071	331675	2672692
4045	12411	332418	2676352
3423	9435	333040	2679328
2832	7004	333631	2681759
2358	4939	334105	2683824
1912	3288	334551	2685475
1527	2106	334936	2686657
1180	1273	335283	2687490
870	658	335593	2688105
598	294	335865	2688469
359	81	336104	2688682
145	11	336318	2688752
41	1	336422	2688762
