tp_s	fp_s	fn_s	tn_s
330788	2638795	5675	49968
323630	2576587	12833	112176
316413	2514272	20050	174491
309287	2451889	27176	236874
302009	2389882	34454	298881
294800	2328045	41663	360718
287601	2266004	48862	422759
280524	2204626	55939	484137
273315	2143601	63148	545162
266170	2082465	70293	606298
258951	2022066	77512	666697
251914	1961817	84549	726946
244829	1902251	91634	786512
237940	1842837	98523	845926
230924	1783800	105539	904963
224094	1724939	112369	963824
217142	1666897	119321	1021866
210229	1609335	126234	1079428
203318	1552353	133145	1136410
196585	1496141	139878	1192622
189919	1440676	146544	1248087
183244	1385705	153219	1303058
176672	1331198	159791	1357565
170242	1277718	166221	1411045
163886	1225013	172577	1463750
157511	1173261	178952	1515502
151223	1122297	185240	1566466
144955	1071989	191508	1616774
138974	1022707	197489	1666056
132990	974223	203473	1714540
127121	926554	209342	1762209
121184	879906	215279	1808857
115445	834073	221018	1854690
109851	789158	226612	1899605
104256	745666	232207	1943097
98859	703169	237604	1985594
93514	661816	242949	2026947
88329	621537	248134	2067226
83333	582348	253130	2106415
78480	544521	257983	2144242
73741	508027	262722	2180736
69134	472620	267329	2216143
64607	438561	271856	2250202
60230	405989	276233	2282774
56045	374991	280418	2313772
51995	344866	284468	2343897
48193	315674	288270	2373089
44527	288059	291936	2400704
40949	262269	295514	2426494
37541	237773	298922	2450990
34287	214355	302176	2474408
31299	192189	305164	2496574
28316	171448	308147	2517315
25640	152160	310823	2536603
23083	134281	313380	2554482
20687	117596	315776	2571167
18445	102278	318018	2586485
16337	88282	320126	2600481
14396	75781	322067	2612982
12546	64250	323917	2624513
10850	54090	325613	2634673
9362	44888	327101	2643875
8012	36804	328451	2651959
6816	29712	329647	2659051
5716	23520	330747	2665243
4674	18204	331789	2670559
3815	13875	332648	2674888
3103	10305	333360	2678458
2454	7457	334009	2681306
1886	5144	334577	2683619
1433	3461	335030	2685302
1014	2117	335449	2686646
696	1242	335767	2687521
421	635	336042	2688128
251	272	336212	2688491
131	96	336332	2688667
51	19	336412	2688744
17	2	336446	2688761
4	0	336459	2688763
