tp_s	fp_s	fn_s	tn_s
330572	2638540	5891	50223
323332	2576189	13131	112574
316081	2514340	20382	174423
308668	2452325	27795	236438
301490	2390410	34973	298353
294185	2328945	42278	359818
286934	2267542	49529	421221
279561	2206020	56902	482743
272429	2144754	64034	544009
265387	2084234	71076	604529
258137	2023474	78326	665289
250955	1962781	85508	725982
243872	1902857	92591	785906
236778	1843231	99685	845532
229866	1784158	106597	904605
222849	1725465	113614	963298
215969	1667363	120494	1021400
209025	1609875	127438	1078888
202230	1553036	134233	1135727
195433	1496868	141030	1191895
188802	1441143	147661	1247620
182221	1385882	154242	1302881
175557	1330956	160906	1357807
168945	1277275	167518	1411488
162565	1223863	173898	1464900
156366	1171647	180097	1517116
150057	1120060	186406	1568703
143862	1069246	192601	1619517
137545	1019247	198918	1669516
131528	970255	204935	1718508
125515	922239	210948	1766524
119781	874443	216682	1814320
113994	828267	222469	1860496
108420	782910	228043	1905853
102842	739143	233621	1949620
97339	695786	239124	1992977
92013	653709	244450	2035054
86841	612924	249622	2075839
81838	573218	254625	2115545
76889	535042	259574	2153721
72117	497806	264346	2190957
67641	462121	268822	2226642
63203	427987	273260	2260776
58991	394983	277472	2293780
54917	363305	281546	2325458
50971	333394	285492	2355369
47097	304843	289366	2383920
43483	277652	292980	2411111
39967	251702	296496	2437061
36662	227642	299801	2461121
33536	205030	302927	2483733
30585	183893	305878	2504870
27804	164156	308659	2524607
25225	145931	311238	2542832
22834	129147	313629	2559616
20522	113800	315941	2574963
18398	99587	318065	2589176
16422	86474	320041	2602289
14557	74567	321906	2614196
12901	63933	323562	2624830
11374	54323	325089	2634440
10042	45720	326421	2643043
8791	38051	327672	2650712
7641	31682	328822	2657081
6617	25874	329846	2662889
5684	20874	330779	2667889
4850	16583	331613	2672180
4113	12878	332350	2675885
3464	9786	332999	2678977
2886	7229	333577	2681534
2357	5133	334106	2683630
1902	3428	334561	2685335
1511	2189	334952	2686574
1167	1317	335296	2687446
856	673	335607	2688090
572	302	335891	2688461
345	85	336118	2688678
138	13	336325	2688750
38	1	336425	2688762
