tp_s	fp_s	fn_s	tn_s
330593	2639075	5870	49688
323341	2576349	13122	112414
316107	2514573	20356	174190
308794	2452800	27669	235963
301630	2391043	34833	297720
294384	2330145	42079	358618
287232	2268734	49231	420029
279928	2207271	56535	481492
272751	2146114	63712	542649
265597	2085511	70866	603252
258421	2025163	78042	663600
251437	1964656	85026	724107
244277	1904418	92186	784345
237233	1844834	99230	843929
230152	1785926	106311	902837
223122	1727131	113341	961632
216305	1669092	120158	1019671
209471	1611500	126992	1077263
202632	1554534	133831	1134229
195769	1498361	140694	1190402
189141	1442641	147322	1246122
182519	1387521	153944	1301242
175947	1332979	160516	1355784
169481	1279300	166982	1409463
163033	1226030	173430	1462733
156744	1173593	179719	1515170
150428	1122024	186035	1566739
144247	1071026	192216	1617737
138054	1021516	198409	1667247
131968	972280	204495	1716483
125999	923987	210464	1764776
120213	876684	216250	1812079
114531	830453	221932	1858310
108850	785230	227613	1903533
103326	740927	233137	1947836
97838	697451	238625	1991312
92449	655574	244014	2033189
87160	614864	249303	2073899
82184	575266	254279	2113497
77308	536982	259155	2151781
72479	500150	263984	2188613
67930	463969	268533	2224794
63552	429594	272911	2259169
59353	396477	277110	2292286
55199	364929	281264	2323834
51239	334707	285224	2354056
47372	306096	289091	2382667
43768	278990	292695	2409773
40248	252987	296215	2435776
36876	228549	299587	2460214
33765	205730	302698	2483033
30757	184824	305706	2503939
27973	164953	308490	2523810
25417	146646	311046	2542117
22993	129752	313470	2559011
20627	114350	315836	2574413
18524	100189	317939	2588574
16552	86941	319911	2601822
14648	74931	321815	2613832
13017	64190	323446	2624573
11457	54538	325006	2634225
10085	45950	326378	2642813
8807	38373	327656	2650390
7703	31670	328760	2657093
6672	26010	329791	2662753
5722	20977	330741	2667786
4889	16655	331574	2672108
4132	12924	332331	2675839
3473	9796	332990	2678967
2896	7234	333567	2681529
2377	5162	334086	2683601
1915	3458	334548	2685305
1517	2212	334946	2686551
1166	1325	335297	2687438
847	688	335616	2688075
567	310	335896	2688453
329	83	336134	2688680
136	12	336327	2688751
34	0	336429	2688763
