tp_s	fp_s	fn_s	tn_s
330858	2639657	5605	49106
323703	2578245	12760	110518
316654	2516973	19809	171790
309668	2455834	26795	232929
302635	2394786	33828	293977
295431	2333796	41032	354967
288333	2273017	48130	415746
281206	2212422	55257	476341
274239	2152059	62224	536704
267264	2091973	69199	596790
260176	2032089	76287	656674
253180	1973018	83283	715745
246207	1913923	90256	774840
239321	1855602	97142	833161
232534	1797029	103929	891734
225692	1739147	110771	949616
218733	1681834	117730	1006929
211949	1625093	124514	1063670
205125	1568853	131338	1119910
198403	1513162	138060	1175601
191787	1458137	144676	1230626
185329	1403537	151134	1285226
178823	1349745	157640	1339018
172465	1296448	163998	1392315
166051	1244046	170412	1444717
159774	1192718	176689	1496045
153580	1142066	182883	1546697
147412	1092560	189051	1596203
141403	1043623	195060	1645140
135336	994580	201127	1694183
129575	947160	206888	1741603
123816	900708	212647	1788055
118083	855067	218380	1833696
112445	810166	224018	1878597
106809	766410	229654	1922353
101346	723812	235117	1964951
96040	682359	240423	2006404
90764	641931	245699	2046832
85786	602574	250677	2086189
80783	564224	255680	2124539
76086	527412	260377	2161351
71510	491615	264953	2197148
66986	457552	269477	2231211
62522	424409	273941	2264354
58269	392494	278194	2296269
54204	362044	282259	2326719
50354	332518	286109	2356245
46649	304432	289814	2384331
42992	277611	293471	2411152
39519	252437	296944	2436326
36173	228521	300290	2460242
33090	205758	303373	2483005
30032	184320	306431	2504443
27234	164269	309229	2524494
24562	145702	311901	2543061
22142	128184	314321	2560579
19771	112146	316692	2576617
17623	97330	318840	2591433
15624	83672	320839	2605091
13685	71699	322778	2617064
11899	60575	324564	2628188
10323	50683	326140	2638080
8798	41884	327665	2646879
7524	34166	328939	2654597
6374	27388	330089	2661375
5293	21522	331170	2667241
4320	16491	332143	2672272
3496	12420	332967	2676343
2817	9105	333646	2679658
2187	6424	334276	2682339
1679	4349	334784	2684414
1209	2796	335254	2685967
832	1661	335631	2687102
530	896	335933	2687867
317	411	336146	2688352
157	154	336306	2688609
78	32	336385	2688731
21	4	336442	2688759
5	0	336458	2688763
