tp_s	fp_s	fn_s	tn_s
330765	2639138	5698	49625
323769	2577638	12694	111125
316515	2515744	19948	173019
309411	2454613	27052	234150
302285	2393075	34178	295688
295278	2331466	41185	357297
288194	2270304	48269	418459
281136	2208998	55327	479765
274060	2148500	62403	540263
266804	2087927	69659	600836
259688	2028276	76775	660487
252705	1968890	83758	719873
245785	1909655	90678	779108
238866	1850699	97597	838064
231953	1791995	104510	896768
225216	1733699	111247	955064
218162	1676205	118301	1012558
211308	1618821	125155	1069942
204522	1562501	131941	1126262
197838	1507020	138625	1181743
191187	1451641	145276	1237122
184474	1396942	151989	1291821
178019	1343095	158444	1345668
171641	1289879	164822	1398884
165293	1237625	171170	1451138
159051	1185846	177412	1502917
152826	1135221	183637	1553542
146519	1085272	189944	1603491
140493	1036316	195970	1652447
134639	987639	201824	1701124
128829	940470	207634	1748293
123033	893537	213430	1795226
117251	848265	219212	1840498
111579	803541	224884	1885222
106110	759718	230353	1929045
100613	716983	235850	1971780
95218	675692	241245	2013071
90091	635221	246372	2053542
85046	595954	251417	2092809
80162	557882	256301	2130881
75486	521302	260977	2167461
70862	485645	265601	2203118
66340	451380	270123	2237383
61923	418504	274540	2270259
57682	386943	278781	2301820
53576	356542	282887	2332221
49717	327085	286746	2361678
46026	299234	290437	2389529
42388	272751	294075	2416012
38918	247843	297545	2440920
35709	223947	300754	2464816
32560	201448	303903	2487315
29567	180330	306896	2508433
26798	160541	309665	2528222
24219	142178	312244	2546585
21699	124983	314764	2563780
19432	109052	317031	2579711
17299	94484	319164	2594279
15235	81253	321228	2607510
13330	69406	323133	2619357
11586	58560	324877	2630203
10008	48878	326455	2639885
8560	40288	327903	2648475
7286	32744	329177	2656019
6174	26206	330289	2662557
5103	20415	331360	2668348
4165	15679	332298	2673084
3352	11724	333111	2677039
2686	8560	333777	2680203
2071	5983	334392	2682780
1581	4021	334882	2684742
1145	2556	335318	2686207
780	1482	335683	2687281
480	799	335983	2687964
286	340	336177	2688423
145	124	336318	2688639
62	24	336401	2688739
17	2	336446	2688761
5	0	336458	2688763
