tp_s	fp_s	fn_s	tn_s
329585	2631641	6878	57122
321850	2566793	14613	121970
313480	2495992	22983	192771
305724	2430334	30739	258429
297254	2359392	39209	329371
289167	2293518	47296	395245
280518	2221524	55945	467239
272530	2155127	63933	533636
263718	2083066	72745	605697
255643	2015898	80820	672865
246946	1942730	89517	746033
238699	1875447	97764	813316
229885	1801814	106578	886949
221793	1733189	114670	955574
212652	1658739	123811	1030024
204246	1589795	132217	1098968
195015	1514456	141448	1174307
186445	1444183	150018	1244580
177054	1367832	159409	1320931
168423	1297716	168040	1391047
159168	1221286	177295	1467477
150163	1150624	186300	1538139
140455	1073615	196008	1615148
131609	1002767	204854	1685996
121962	926476	214501	1762287
113126	857136	223337	1831627
103572	782453	232891	1906310
94840	714467	241623	1974296
85234	641935	251229	2046828
76662	577036	259801	2111727
67752	508519	268711	2180244
59924	447301	276539	2241462
51744	384988	284719	2303775
44556	329684	291907	2359079
37242	274193	299221	2414570
30888	226894	305575	2461869
24428	179908	312035	2508855
19055	141299	317408	2547464
14122	104941	322341	2583822
10331	76339	326132	2612424
7098	50665	329365	2638098
4621	32288	331842	2656475
2645	17564	333818	2671199
1310	8403	335153	2680360
444	2517	336019	2686246
49	232	336414	2688531
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
0	0	336463	2688763
