tp_s	fp_s	fn_s	tn_s
1752	170644	31	3043
1740	169020	43	4667
1729	167434	54	6253
1716	165807	67	7880
1698	164286	85	9401
1684	162708	99	10979
1667	161140	116	12547
1653	159576	130	14111
1641	158034	142	15653
1624	156477	159	17210
1616	154914	167	18773
1595	153403	188	20284
1577	151916	206	21771
1561	150430	222	23257
1547	148893	236	24794
1523	147350	260	26337
1510	145876	273	27811
1493	144261	290	29426
1475	142762	308	30925
1466	141237	317	32450
1459	139708	324	33979
1444	138254	339	35433
1425	136749	358	36938
1410	135234	373	38453
1401	133699	382	39988
1384	132173	399	41514
1368	130608	415	43079
1350	129149	433	44538
1333	127646	450	46041
1316	126145	467	47542
1305	124679	478	49008
1296	123175	487	50512
1276	121737	507	51950
1260	120255	523	53432
1246	118839	537	54848
1236	117371	547	56316
1223	115886	560	57801
1214	114432	569	59255
1199	112929	584	60758
1181	111498	602	62189
1166	110054	617	63633
1156	108686	627	65001
1144	107281	639	66406
1131	105842	652	67845
1116	104436	667	69251
1102	103000	681	70687
1089	101663	694	72024
1078	100250	705	73437
1066	98902	717	74785
1053	97487	730	76200
1038	96131	745	77556
1020	94714	763	78973
1002	93384	781	80303
989	92059	794	81628
976	90644	807	83043
961	89257	822	84430
949	87974	834	85713
933	86620	850	87067
925	85326	858	88361
913	83979	870	89708
901	82652	882	91035
889	81317	894	92370
880	79925	903	93762
872	78666	911	95021
861	77396	922	96291
846	76069	937	97618
838	74737	945	98950
826	73453	957	100234
819	72155	964	101532
807	70944	976	102743
795	69695	988	103992
785	68396	998	105291
764	67208	1019	106479
752	65954	1031	107733
738	64651	1045	109036
728	63399	1055	110288
717	62113	1066	111574
703	60883	1080	112804
692	59635	1091	114052
677	58394	1106	115293
669	57135	1114	116552
658	55932	1125	117755
648	54807	1135	118880
635	53611	1148	120076
620	52380	1163	121307
609	51232	1174	122455
599	50168	1184	123519
590	49018	1193	124669
575	47842	1208	125845
565	46747	1218	126940
547	45651	1236	128036
528	44580	1255	129107
518	43466	1265	130221
505	42344	1278	131343
498	41284	1285	132403
490	40231	1293	133456
478	39231	1305	134456
468	38239	1315	135448
465	37219	1318	136468
456	36235	1327	137452
450	35290	1333	138397
432	34279	1351	139408
425	33299	1358	140388
415	32356	1368	141331
405	31404	1378	142283
399	30444	1384	143243
392	29565	1391	144122
381	28624	1402	145063
376	27688	1407	145999
371	26850	1412	146837
361	25939	1422	147748
351	25097	1432	148590
342	24248	1441	149439
330	23458	1453	150229
321	22617	1462	151070
313	21789	1470	151898
305	21011	1478	152676
294	20262	1489	153425
287	19476	1496	154211
275	18765	1508	154922
271	18063	1512	155624
258	17393	1525	156294
246	16749	1537	156938
239	16100	1544	157587
229	15457	1554	158230
221	14837	1562	158850
211	14203	1572	159484
203	13654	1580	160033
198	13065	1585	160622
195	12455	1588	161232
183	11891	1600	161796
174	11352	1609	162335
169	10862	1614	162825
163	10362	1620	163325
153	9891	1630	163796
146	9418	1637	164269
142	8975	1641	164712
138	8565	1645	165122
133	8105	1650	165582
127	7678	1656	166009
126	7288	1657	166399
122	6909	1661	166778
119	6517	1664	167170
114	6169	1669	167518
112	5834	1671	167853
105	5500	1678	168187
100	5180	1683	168507
91	4848	1692	168839
86	4558	1697	169129
78	4291	1705	169396
75	4031	1708	169656
67	3766	1716	169921
67	3504	1716	170183
67	3286	1716	170401
62	3073	1721	170614
59	2874	1724	170813
55	2682	1728	171005
51	2501	1732	171186
50	2307	1733	171380
49	2143	1734	171544
45	1967	1738	171720
43	1800	1740	171887
42	1656	1741	172031
37	1495	1746	172192
36	1355	1747	172332
36	1233	1747	172454
32	1111	1751	172576
31	1004	1752	172683
28	895	1755	172792
28	792	1755	172895
23	701	1760	172986
21	629	1762	173058
21	542	1762	173145
18	453	1765	173234
17	384	1766	173303
15	333	1768	173354
13	267	1770	173420
13	229	1770	173458
11	190	1772	173497
10	152	1773	173535
9	111	1774	173576
5	84	1778	173603
4	60	1779	173627
3	37	1780	173650
2	25	1781	173662
1	12	1782	173675
1	4	1782	173683
1	2	1782	173685
0	1	1783	173686
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
