tp_s    fp_s    fn_s    tn_s
1750    170592  33      3095
1731    168965  52      4722
1724    167348  59      6339
1710    165785  73      7902
1700    164306  83      9381
1686    162749  97      10938
1672    161200  111     12487
1659    159569  124     14118
1643    158092  140     15595
1630    156564  153     17123
1615    155050  168     18637
1596    153497  187     20190
1578    151995  205     21692
1558    150534  225     23153
1540    148987  243     24700
1522    147441  261     26246
1503    145910  280     27777
1489    144354  294     29333
1479    142933  304     30754
1468    141420  315     32267
1454    139915  329     33772
1441    138363  342     35324
1424    136827  359     36860
1412    135316  371     38371
1398    133831  385     39856
1383    132366  400     41321
1368    130842  415     42845
1356    129306  427     44381
1336    127806  447     45881
1316    126371  467     47316
1309    124902  474     48785
1291    123401  492     50286
1282    121862  501     51825
1268    120394  515     53293
1259    118949  524     54738
1245    117489  538     56198
1231    116077  552     57610
1215    114620  568     59067
1199    113101  584     60586
1185    111687  598     62000
1174    110212  609     63475
1160    108782  623     64905
1146    107366  637     66321
1141    106018  642     67669
1129    104604  654     69083
1113    103278  670     70409
1101    101938  682     71749
1087    100523  696     73164
1071    99146   712     74541
1052    97722   731     75965
1036    96317   747     77370
1022    94909   761     78778
1012    93551   771     80136
998     92194   785     81493
984     90878   799     82809
970     89533   813     84154
950     88161   833     85526
936     86866   847     86821
921     85511   862     88176
911     84194   872     89493
903     82930   880     90757
893     81590   890     92097
878     80268   905     93419
869     78977   914     94710
862     77601   921     96086
851     76316   932     97371
844     75008   939     98679
834     73772   949     99915
822     72544   961     101143
811     71252   972     102435
799     69941   984     103746
783     68636   1000    105051
771     67389   1012    106298
758     66158   1025    107529
739     64901   1044    108786
727     63646   1056    110041
717     62388   1066    111299
707     61082   1076    112605
695     59854   1088    113833
688     58650   1095    115037
679     57513   1104    116174
666     56254   1117    117433
654     55055   1129    118632
637     53845   1146    119842
625     52668   1158    121019
616     51486   1167    122201
600     50337   1183    123350
593     49222   1190    124465
583     48117   1200    125570
566     47009   1217    126678
548     45904   1235    127783
534     44719   1249    128968
518     43615   1265    130072
510     42539   1273    131148
498     41419   1285    132268
490     40378   1293    133309
480     39393   1303    134294
467     38403   1316    135284
462     37408   1321    136279
449     36434   1334    137253
440     35463   1343    138224
433     34497   1350    139190
425     33526   1358    140161
416     32508   1367    141179
408     31530   1375    142157
397     30609   1386    143078
389     29632   1394    144055
381     28709   1402    144978
376     27807   1407    145880
368     26914   1415    146773
360     26035   1423    147652
353     25175   1430    148512
343     24358   1440    149329
337     23548   1446    150139
320     22728   1463    150959
311     21921   1472    151766
303     21122   1480    152565
295     20347   1488    153340
284     19604   1499    154083
275     18889   1508    154798
265     18225   1518    155462
261     17531   1522    156156
252     16843   1531    156844
247     16180   1536    157507
233     15575   1550    158112
229     14943   1554    158744
221     14311   1562    159376
210     13725   1573    159962
202     13151   1581    160536
197     12585   1586    161102
192     12042   1591    161645
187     11497   1596    162190
172     10938   1611    162749
161     10435   1622    163252
155     9974    1628    163713
150     9536    1633    164151
142     9104    1641    164583
139     8651    1644    165036
135     8225    1648    165462
129     7821    1654    165866
128     7405    1655    166282
125     7007    1658    166680
120     6611    1663    167076
118     6227    1665    167460
114     5889    1669    167798
110     5589    1673    168098
103     5248    1680    168439
93      4952    1690    168735
89      4640    1694    169047
84      4356    1699    169331
75      4092    1708    169595
71      3812    1712    169875
66      3579    1717    170108
66      3345    1717    170342
63      3117    1720    170570
59      2933    1724    170754
56      2735    1727    170952
53      2559    1730    171128
48      2358    1735    171329
48      2181    1735    171506
47      2017    1736    171670
43      1849    1740    171838
38      1672    1745    172015
37      1525    1746    172162
36      1383    1747    172304
36      1259    1747    172428
35      1130    1748    172557
30      1022    1753    172665
29      899     1754    172788
26      806     1757    172881
26      715     1757    172972
23      643     1760    173044
21      555     1762    173132
20      473     1763    173214
17      390     1766    173297
16      339     1767    173348
13      281     1770    173406
13      233     1770    173454
11      194     1772    173493
10      158     1773    173529
7       116     1776    173571
6       84      1777    173603
4       62      1779    173625
2       39      1781    173648
2       24      1781    173663
1       13      1782    173674
1       5       1782    173682
1       3       1782    173684
0       1       1783    173686
0       0       1783    173687
0       0       1783    173687
0       0       1783    173687
