tp_s	fp_s	fn_s	tn_s
1756	170528	27	3159
1739	169011	44	4676
1725	167481	58	6206
1713	165899	70	7788
1697	164330	86	9357
1685	162751	98	10936
1670	161254	113	12433
1663	159688	120	13999
1655	158075	128	15612
1633	156509	150	17178
1616	155010	167	18677
1600	153417	183	20270
1585	151938	198	21749
1569	150458	214	23229
1555	148932	228	24755
1534	147414	249	26273
1515	145947	268	27740
1498	144418	285	29269
1476	142886	307	30801
1458	141338	325	32349
1445	139844	338	33843
1433	138349	350	35338
1421	136826	362	36861
1407	135323	376	38364
1394	133830	389	39857
1383	132336	400	41351
1365	130867	418	42820
1353	129341	430	44346
1344	127886	439	45801
1330	126352	453	47335
1317	124828	466	48859
1304	123350	479	50337
1287	121902	496	51785
1270	120440	513	53247
1257	119041	526	54646
1247	117551	536	56136
1235	116096	548	57591
1224	114643	559	59044
1208	113174	575	60513
1197	111671	586	62016
1186	110185	597	63502
1172	108769	611	64918
1162	107332	621	66355
1152	106000	631	67687
1137	104630	646	69057
1127	103243	656	70444
1103	101866	680	71821
1090	100491	693	73196
1073	99077	710	74610
1055	97733	728	75954
1037	96354	746	77333
1021	94950	762	78737
1005	93579	778	80108
992	92260	791	81427
979	90869	804	82818
963	89531	820	84156
954	88231	829	85456
951	86856	832	86831
933	85533	850	88154
918	84196	865	89491
903	82803	880	90884
896	81477	887	92210
887	80227	896	93460
876	78913	907	94774
865	77569	918	96118
861	76288	922	97399
849	75015	934	98672
839	73722	944	99965
828	72460	955	101227
808	71130	975	102557
793	69819	990	103868
783	68579	1000	105108
772	67309	1011	106378
757	66073	1026	107614
746	64766	1037	108921
734	63515	1049	110172
724	62271	1059	111416
711	61002	1072	112685
699	59837	1084	113850
688	58623	1095	115064
676	57383	1107	116304
668	56153	1115	117534
652	54928	1131	118759
639	53741	1144	119946
628	52560	1155	121127
613	51363	1170	122324
602	50192	1181	123495
594	49092	1189	124595
580	47989	1203	125698
564	46852	1219	126835
549	45734	1234	127953
536	44617	1247	129070
526	43508	1257	130179
509	42411	1274	131276
501	41359	1282	132328
492	40306	1291	133381
483	39308	1300	134379
476	38312	1307	135375
463	37229	1320	136458
455	36287	1328	137400
440	35346	1343	138341
434	34407	1349	139280
430	33386	1353	140301
420	32367	1363	141320
407	31416	1376	142271
399	30468	1384	143219
393	29551	1390	144136
386	28617	1397	145070
375	27693	1408	145994
368	26823	1415	146864
363	25951	1420	147736
349	25148	1434	148539
340	24313	1443	149374
330	23462	1453	150225
320	22632	1463	151055
310	21837	1473	151850
305	21091	1478	152596
302	20270	1481	153417
293	19557	1490	154130
279	18828	1504	154859
275	18151	1508	155536
263	17442	1520	156245
257	16754	1526	156933
244	16120	1539	157567
232	15462	1551	158225
227	14822	1556	158865
218	14244	1565	159443
213	13681	1570	160006
203	13103	1580	160584
196	12499	1587	161188
192	11940	1591	161747
185	11412	1598	162275
172	10860	1611	162827
163	10378	1620	163309
159	9917	1624	163770
152	9450	1631	164237
144	9002	1639	164685
141	8577	1642	165110
134	8149	1649	165538
132	7731	1651	165956
129	7351	1654	166336
124	6936	1659	166751
121	6555	1662	167132
116	6186	1667	167501
113	5848	1670	167839
106	5508	1677	168179
99	5196	1684	168491
94	4874	1689	168813
85	4561	1698	169126
80	4301	1703	169386
76	4016	1707	169671
72	3755	1711	169932
68	3512	1715	170175
64	3302	1719	170385
61	3089	1722	170598
58	2896	1725	170791
57	2709	1726	170978
52	2528	1731	171159
50	2333	1733	171354
47	2144	1736	171543
47	1981	1736	171706
43	1819	1740	171868
39	1657	1744	172030
37	1502	1746	172185
36	1360	1747	172327
35	1235	1748	172452
35	1115	1748	172572
33	994	1750	172693
30	882	1753	172805
27	795	1756	172892
25	708	1758	172979
22	626	1761	173061
21	547	1762	173140
20	465	1763	173222
17	387	1766	173300
16	332	1767	173355
14	273	1769	173414
12	229	1771	173458
11	194	1772	173493
10	158	1773	173529
7	118	1776	173569
6	83	1777	173604
4	58	1779	173629
2	37	1781	173650
2	23	1781	173664
1	12	1782	173675
1	4	1782	173683
1	2	1782	173685
0	1	1783	173686
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
