tp_s	fp_s	fn_s	tn_s
1753	170554	30	3133
1731	169006	52	4681
1719	167449	64	6238
1705	165936	78	7751
1686	164482	97	9205
1673	162908	110	10779
1657	161381	126	12306
1639	159815	144	13872
1627	158270	156	15417
1615	156710	168	16977
1601	155203	182	18484
1586	153623	197	20064
1573	152070	210	21617
1553	150526	230	23161
1540	149068	243	24619
1520	147576	263	26111
1504	146077	279	27610
1494	144604	289	29083
1478	143102	305	30585
1462	141578	321	32109
1452	140000	331	33687
1438	138463	345	35224
1425	136942	358	36745
1412	135423	371	38264
1393	133932	390	39755
1379	132470	404	41217
1369	130992	414	42695
1353	129480	430	44207
1342	127957	441	45730
1325	126481	458	47206
1313	125019	470	48668
1298	123527	485	50160
1285	122014	498	51673
1269	120537	514	53150
1259	119050	524	54637
1245	117615	538	56072
1239	116166	544	57521
1226	114703	557	58984
1211	113281	572	60406
1196	111831	587	61856
1179	110486	604	63201
1160	109004	623	64683
1143	107581	640	66106
1128	106137	655	67550
1118	104718	665	68969
1105	103306	678	70381
1095	101931	688	71756
1076	100573	707	73114
1064	99212	719	74475
1051	97820	732	75867
1039	96383	744	77304
1027	95039	756	78648
1009	93616	774	80071
994	92228	789	81459
978	90877	805	82810
966	89518	817	84169
951	88143	832	85544
937	86794	846	86893
920	85501	863	88186
912	84154	871	89533
900	82852	883	90835
888	81567	895	92120
871	80281	912	93406
865	79004	918	94683
855	77754	928	95933
840	76437	943	97250
835	75165	948	98522
820	73983	963	99704
811	72799	972	100888
794	71581	989	102106
787	70323	996	103364
780	69085	1003	104602
767	67887	1016	105800
763	66614	1020	107073
751	65382	1032	108305
740	64158	1043	109529
726	62988	1057	110699
715	61740	1068	111947
701	60519	1082	113168
693	59324	1090	114363
683	58075	1100	115612
670	56887	1113	116800
658	55689	1125	117998
651	54478	1132	119209
643	53322	1140	120365
637	52191	1146	121496
624	51045	1159	122642
611	49954	1172	123733
605	48906	1178	124781
592	47826	1191	125861
583	46763	1200	126924
569	45700	1214	127987
554	44585	1229	129102
544	43546	1239	130141
535	42491	1248	131196
527	41483	1256	132204
516	40504	1267	133183
503	39502	1280	134185
491	38463	1292	135224
479	37475	1304	136212
466	36450	1317	137237
460	35507	1323	138180
450	34543	1333	139144
441	33627	1342	140060
428	32700	1355	140987
419	31776	1364	141911
407	30884	1376	142803
399	29988	1384	143699
390	29142	1393	144545
376	28215	1407	145472
362	27376	1421	146311
356	26596	1427	147091
346	25788	1437	147899
337	24998	1446	148689
328	24186	1455	149501
317	23394	1466	150293
309	22619	1474	151068
302	21839	1481	151848
291	21146	1492	152541
284	20445	1499	153242
278	19777	1505	153910
274	19075	1509	154612
262	18376	1521	155311
256	17736	1527	155951
250	17023	1533	156664
243	16345	1540	157342
235	15691	1548	157996
228	15072	1555	158615
220	14465	1563	159222
211	13879	1572	159808
203	13294	1580	160393
194	12744	1589	160943
185	12152	1598	161535
181	11590	1602	162097
173	11048	1610	162639
164	10509	1619	163178
157	10021	1626	163666
153	9512	1630	164175
149	9015	1634	164672
143	8538	1640	165149
134	8094	1649	165593
129	7641	1654	166046
125	7212	1658	166475
114	6832	1669	166855
107	6460	1676	167227
104	6084	1679	167603
102	5720	1681	167967
96	5374	1687	168313
89	5036	1694	168651
87	4687	1696	169000
84	4388	1699	169299
79	4087	1704	169600
75	3794	1708	169893
72	3512	1711	170175
65	3274	1718	170413
63	3003	1720	170684
61	2781	1722	170906
57	2541	1726	171146
50	2333	1733	171354
49	2118	1734	171569
45	1908	1738	171779
44	1719	1739	171968
42	1561	1741	172126
36	1402	1747	172285
34	1241	1749	172446
29	1099	1754	172588
29	976	1754	172711
28	859	1755	172828
26	756	1757	172931
22	660	1761	173027
22	575	1761	173112
20	503	1763	173184
18	437	1765	173250
16	366	1767	173321
11	304	1772	173383
10	253	1773	173434
9	218	1774	173469
9	181	1774	173506
8	141	1775	173546
5	102	1778	173585
5	76	1778	173611
5	51	1778	173636
5	38	1778	173649
3	25	1780	173662
3	15	1780	173672
2	8	1781	173679
0	3	1783	173684
0	2	1783	173685
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
