tp_s    fp_s    fn_s    tn_s
1757    170491  26      3196
1742    168894  41      4793
1727    167245  56      6442
1714    165669  69      8018
1697    164034  86      9653
1679    162393  104     11294
1659    160906  124     12781
1639    159378  144     14309
1625    157819  158     15868
1608    156228  175     17459
1596    154650  187     19037
1579    153113  204     20574
1560    151605  223     22082
1542    150017  241     23670
1529    148348  254     25339
1519    146797  264     26890
1509    145234  274     28453
1487    143739  296     29948
1465    142145  318     31542
1456    140579  327     33108
1442    139003  341     34684
1433    137449  350     36238
1413    135870  370     37817
1401    134295  382     39392
1381    132703  402     40984
1364    131161  419     42526
1350    129657  433     44030
1334    128208  449     45479
1329    126702  454     46985
1311    125215  472     48472
1289    123684  494     50003
1279    122242  504     51445
1266    120703  517     52984
1248    119195  535     54492
1228    117682  555     56005
1217    116204  566     57483
1205    114710  578     58977
1194    113173  589     60514
1176    111724  607     61963
1166    110247  617     63440
1151    108722  632     64965
1138    107189  645     66498
1123    105795  660     67892
1107    104351  676     69336
1091    102878  692     70809
1078    101419  705     72268
1068    100051  715     73636
1051    98562   732     75125
1038    97123   745     76564
1023    95743   760     77944
1012    94364   771     79323
998     92963   785     80724
983     91577   800     82110
967     90243   816     83444
961     88886   822     84801
949     87521   834     86166
937     86222   846     87465
925     84850   858     88837
912     83516   871     90171
903     82281   880     91406
890     80959   893     92728
875     79676   908     94011
866     78296   917     95391
857     77025   926     96662
840     75731   943     97956
820     74440   963     99247
809     73129   974     100558
801     71824   982     101863
796     70499   987     103188
788     69208   995     104479
776     68021   1007    105666
763     66816   1020    106871
751     65591   1032    108096
744     64369   1039    109318
735     63114   1048    110573
727     61839   1056    111848
718     60608   1065    113079
706     59322   1077    114365
696     58172   1087    115515
681     56924   1102    116763
665     55741   1118    117946
660     54579   1123    119108
646     53430   1137    120257
633     52278   1150    121409
624     51093   1159    122594
619     49986   1164    123701
601     48886   1182    124801
590     47816   1193    125871
583     46637   1200    127050
578     45543   1205    128144
566     44495   1217    129192
556     43449   1227    130238
541     42409   1242    131278
530     41336   1253    132351
523     40299   1260    133388
509     39300   1274    134387
497     38265   1286    135422
486     37223   1297    136464
473     36254   1310    137433
464     35331   1319    138356
456     34366   1327    139321
444     33418   1339    140269
437     32479   1346    141208
428     31539   1355    142148
417     30631   1366    143056
403     29735   1380    143952
395     28884   1388    144803
387     28019   1396    145668
370     27159   1413    146528
363     26349   1420    147338
352     25563   1431    148124
342     24733   1441    148954
333     23928   1450    149759
317     23142   1466    150545
306     22354   1477    151333
301     21588   1482    152099
295     20849   1488    152838
290     20113   1493    153574
280     19415   1503    154272
272     18711   1511    154976
260     18021   1523    155666
249     17337   1534    156350
240     16695   1543    156992
232     16019   1551    157668
226     15382   1557    158305
219     14761   1564    158926
215     14100   1568    159587
208     13435   1575    160252
198     12836   1585    160851
190     12278   1593    161409
184     11730   1599    161957
177     11199   1606    162488
171     10653   1612    163034
165     10175   1618    163512
158     9643    1625    164044
152     9192    1631    164495
146     8752    1637    164935
133     8298    1650    165389
127     7831    1656    165856
118     7386    1665    166301
112     6964    1671    166723
108     6560    1675    167127
105     6191    1678    167496
101     5815    1682    167872
96      5442    1687    168245
94      5101    1689    168586
91      4770    1692    168917
86      4477    1697    169210
81      4191    1702    169496
79      3901    1704    169786
75      3633    1708    170054
73      3345    1710    170342
65      3113    1718    170574
61      2869    1722    170818
58      2626    1725    171061
52      2403    1731    171284
48      2192    1735    171495
47      2004    1736    171683
45      1811    1738    171876
44      1643    1739    172044
39      1468    1744    172219
37      1325    1746    172362
36      1182    1747    172505
34      1050    1749    172637
31      933     1752    172754
24      822     1759    172865
23      717     1760    172970
22      624     1761    173063
20      543     1763    173144
18      465     1765    173222
16      408     1767    173279
15      340     1768    173347
11      296     1772    173391
11      258     1772    173429
10      209     1773    173478
9       179     1774    173508
9       135     1774    173552
8       105     1775    173582
6       80      1777    173607
6       60      1777    173627
5       40      1778    173647
4       27      1779    173660
4       17      1779    173670
3       10      1780    173677
1       6       1782    173681
0       3       1783    173684
0       1       1783    173686
0       0       1783    173687
0       0       1783    173687
0       0       1783    173687
0       0       1783    173687
0       0       1783    173687
