tp_s	fp_s	fn_s	tn_s
1745	170183	38	3504
1728	168512	55	5175
1714	166894	69	6793
1697	165330	86	8357
1685	163620	98	10067
1670	162000	113	11687
1655	160383	128	13304
1643	158776	140	14911
1631	156744	152	16943
1616	155113	167	18574
1594	153435	189	20252
1582	151739	201	21948
1569	150054	214	23633
1547	148444	236	25243
1530	146751	253	26936
1514	145067	269	28620
1495	143080	288	30607
1483	141371	300	32316
1466	139700	317	33987
1449	138034	334	35653
1429	136291	354	37396
1411	134633	372	39054
1390	132872	393	40815
1371	131171	412	42516
1356	129145	427	44542
1340	127429	443	46258
1320	125718	463	47969
1303	123977	480	49710
1292	122272	491	51415
1273	120556	510	53131
1263	118826	520	54861
1240	116721	543	56966
1219	115064	564	58623
1201	113280	582	60407
1178	111554	605	62133
1161	109879	622	63808
1141	108205	642	65482
1127	106472	656	67215
1114	104674	669	69013
1094	102547	689	71140
1069	100758	714	72929
1052	98973	731	74714
1038	97080	745	76607
1015	95296	768	78391
1002	93526	781	80161
984	91757	799	81930
964	89959	819	83728
944	87897	839	85790
934	86041	849	87646
911	84213	872	89474
892	82411	891	91276
877	80762	906	92925
857	78969	926	94718
845	77183	938	96504
830	74956	953	98731
809	73162	974	100525
794	71374	989	102313
780	69560	1003	104127
761	67708	1022	105979
748	65961	1035	107726
728	64153	1055	109534
710	62320	1073	111367
693	60070	1090	113617
669	58368	1114	115319
657	56617	1126	117070
637	54893	1146	118794
627	53140	1156	120547
613	51369	1170	122318
594	49508	1189	124179
579	47711	1204	125976
559	45540	1224	128147
547	43853	1236	129834
526	42087	1257	131600
511	40366	1272	133321
493	38678	1290	135009
472	36999	1311	136688
456	35300	1327	138387
431	33318	1352	140369
413	31766	1370	141921
397	30136	1386	143551
377	28573	1406	145114
359	26978	1424	146709
346	25362	1437	148325
319	23818	1464	149869
299	22324	1484	151363
279	20535	1504	153152
267	19093	1516	154594
252	17732	1531	155955
240	16343	1543	157344
224	15044	1559	158643
209	13798	1574	159889
194	12550	1589	161137
176	11353	1607	162334
157	10020	1626	163667
147	8921	1636	164766
136	7952	1647	165735
120	6987	1663	166700
105	6095	1678	167592
95	5211	1688	168476
82	4406	1701	169281
70	3529	1713	170158
65	2901	1718	170786
55	2384	1728	171303
45	1909	1738	171778
33	1416	1750	172271
26	1048	1757	172639
21	736	1762	172951
15	461	1768	173226
11	252	1772	173435
7	113	1776	173574
3	30	1780	173657
1	2	1782	173685
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
0	0	1783	173687
